Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,5,2000-07-06,2000-07-11,6,171580,21769752.19,1177.35,07-09,32.79,32.74,"(-8.4375, -3.515625, 36.8420237038942, 40.3507847105177)","(-7.3828125, 38.2455282198601)(-6.6796875, 38.59640431404308)(-5.9765625, 38.947280393338005)(-5.9765625, 38.596404278430704)(-5.9765625, 38.2455281920133)(-6.328125, 37.54377597548913)"
0,2000,1,17,2000-07-18,2000-07-23,6,105116,14306737.39,669.14,07-19,28.78,28.78,"(-7.734375, -2.8125, 40.3507847105177, 42.45604075651)","(-5.2734375, 41.754288775318166)(-5.2734375, 41.403412759118055)(-5.2734375, 41.403412759118055)(-4.921875, 41.403412759118055)(-5.625, 41.754288775318166)(-5.625, 41.754288775318166)"
0,2000,2,39,2000-08-09,2000-08-13,5,106090,10762143.39,703.58,08-10,31.81,31.22,"(-7.03125, -4.21875, 37.5437759887994, 42.45604075651)","(-5.625, 41.05253672661284)(-5.625, 40.70166067834521)(-5.2734375, 39.649032505162076)(-5.625, 38.59640431404308)(-5.625, 38.2455282198601)"
0,2000,3,41,2000-08-11,2000-08-13,3,75008,6487287.7,502.85,08-11,31.48,31.47,"(-4.921875, -2.109375, 38.9472804370071, 41.0525367766618)","(-3.515625, 39.99990863019465)(-3.515625, 39.99990863019465)(-3.515625, 39.64903258137227)"
0,2000,4,48,2000-08-18,2000-08-17,4,154599,8568441.35,822.15,08-16,19.22,19.38,"(-9.84375, -2.109375, 50.8770591457431, 54.3858129450494)","(-5.2734375, 53.33318703966727)(-5.625, 52.63143623936477)(-6.6796875, 52.63143623936477)(-5.9765625, 52.63143623936477)"
0,2000,5,48,2000-08-18,2000-08-23,6,982112,93030454.83,6244.38,08-22,23.84,24.2,"(-2.109375, 14.765625, 44.5612963074929, 54.3858129450494)","(4.5703125, 50.87705894359374)(7.3828125, 50.175307385181746)(7.3828125, 49.473556023324846)(6.328125, 49.12268052891595)(6.328125, 49.473556023324846)(9.140625, 50.175307385181746)"
0,2001,0,1,2001-07-02,2001-08-07,37,1168494,225093465.54,4781.03,07-26,15.08,15.26,"(-9.84375, 14.765625, 45.263048035017, 54.3858129450494)","(-4.5703125, 52.046643845046965)(-4.5703125, 50.52618302594712)(-4.5703125, 50.175307385181746)(-4.21875, 50.175307385181746)(-4.21875, 50.175307385181746)(-5.625, 50.23378659424538)(-5.2734375, 51.49109064887741)(-5.2734375, 52.280560785003146)(-5.2734375, 52.280560785003146)(-5.9765625, 52.280560785003146)(-6.328125, 52.280560785003146)(-4.921875, 52.280560785003146)(-3.515625, 50.175307385181746)(-1.35, 50.175307385181746)(0.3515625, 50.175307385181746)(1.0546875, 51.22793422197187)(1.0546875, 52.280560785003146)(-3.515625, 52.63143623936477)(-3.515625, 52.63143623936477)(-3.1640625, 50.23910282473739)(-3.515625, 50.175307385181746)(-2.8125, 49.824431717312834)(0.3515625, 49.824431717312834)(2.109375, 49.824431717312834)(2.4609375, 49.824431717312834)(2.4609375, 50.52618302594712)(2.7504595588235294, 51.92968529643001)(0.3515625, 51.57880977499397)(-5.625, 51.57880977499397)(-5.625, 51.57880977499397)(-3.515625, 50.877058638573686)(-3.1640625, 50.52618320792611)(-3.1640625, 50.877058638573686)(-2.8125, 49.12268112231084)(-3.1640625, 48.77180551762438)(-2.8125, 48.77180551762438)(-3.1640625, 49.12268119588252)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,1,7,2001-07-08,2001-07-12,5,135676,6403609.51,575.82,07-10,17.1,17.07,"(-5.625, 1.40625, 45.9647996959973, 48.7718056035057)","(-3.515625, 47.017427045823354)(-2.8125, 47.36830272718452)(-2.109375, 47.36830272718452)(-2.4609375, 47.36830272718452)(-3.1640625, 46.666551262548005)"
0,2001,2,21,2001-07-22,2001-07-26,5,302770,22293755.92,1643.45,07-24,26.32,24.98,"(-7.734375, -2.109375, 37.5437759887994, 43.8595445166024)","(-3.8671875, 40.35078469459051)(-4.21875, 39.2981564572253)(-4.921875, 40.701660547458246)(-4.921875, 40.701660547458246)(-4.921875, 41.152786856943365)"
0,2001,3,24,2001-07-25,2001-07-24,3,39587,1854618.07,166.42,07-26,18.39,18.32,"(-1.40625, 0.0, 43.1577926653356, 44.5612963074929)","(-0.703125, 43.859544496476964)(-0.703125, 43.859544496476964)(-0.703125, 43.859544496476964)"
0,2001,4,32,2001-08-02,2001-08-01,9,647549,67411823.56,2764.42,08-05,21.34,21.01,"(-9.84375, 2.8125, 36.8420237038942, 43.8595445166024)","(-7.03125, 40.350784470770606)(-5.9765625, 40.350784470770606)(-4.921875, 40.350784470770606)(-3.515625, 40.350784470770606)(-3.515625, 40.350784470770606)(-1.0546875, 39.99990853658056)(-9.4921875, 42.45604073820943)(-7.734375, 41.05253660953145)(-7.3828125, 40.350784470770606)"
0,2001,5,36,2001-08-06,2001-08-09,4,68179,2974330.38,308.95,08-07,17.18,17.07,"(-0.703125, 4.21875, 50.8770591457431, 52.2805610111665)","(0.703125, 51.578810096228665)(1.40625, 51.578810096228665)(2.8125, 51.22793463875975)(2.8125, 51.92968557147145)"
0,2001,6,40,2001-08-10,2001-08-09,4,48460,5168104.1,299.26,08-11,27.98,28.09,"(-3.515625, -1.40625, 36.8420237038942, 38.2455282337738)","(-2.4609375, 37.54377597548913)(-2.4609375, 37.54377597548913)(-2.8125, 37.54377597548913)(-2.4609375, 37.54377597548913)"
