Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,21,2000-07-22,2000-08-01,11,333611,54758535.38,2238.46,07-26,26.79,27.29,"(8.4375, 14.765625, 40.3507847105177, 48.7718056035057)","(12.3046875, 47.71917848498133)(11.953125, 47.01742694515659)(11.953125, 45.33322284021703)(11.6015625, 44.5612958612956)(11.953125, 44.5612958612956)(12.3046875, 43.50866835439724)(11.6015625, 43.50866835439724)(12.65625, 44.5612960957094)(12.65625, 45.96479955593274)(12.65625, 46.31567539582113)(13.0078125, 45.26304801283573)"
0,2000,1,27,2000-07-28,2000-08-01,5,137373,16493509.78,956.36,07-31,30.29,30.35,"(7.03125, 11.953125, 41.7542887927827, 45.9647996959973)","(9.4921875, 43.50866856148522)(9.140625, 44.210420329492536)(9.4921875, 43.50866851229011)(9.4921875, 43.50866851229011)(9.84375, 43.85954445619158)"
0,2000,2,35,2000-08-05,2000-08-07,3,105788,6858563.96,657.85,08-06,27.62,27.37,"(10.546875, 14.765625, 44.5612963074929, 47.3683028045918)","(13.0078125, 45.964799626030775)(12.65625, 45.964799626030775)(12.65625, 45.26304801283573)"
0,2000,3,37,2000-08-07,2000-08-11,5,196618,26860986.32,1347.08,08-10,33.74,33.7,"(0.703125, 9.84375, 35.4385190210863, 37.5437759887994)","(4.21875, 35.789395200932205)(4.5703125, 36.140271368586205)(5.2734375, 36.491147523639505)(5.2734375, 36.491147523639505)(5.2734375, 36.491147523639505)"
0,2000,4,40,2000-08-10,2000-08-09,4,183450,17615532.96,1250.65,08-09,30.47,30.48,"(7.734375, 14.0625, 41.0525367766618, 44.5612963074929)","(10.8984375, 42.80691663589757)(10.8984375, 42.4560407015785)(10.8984375, 42.4560407015785)(10.8984375, 42.80691663589757)"
0,2000,5,40,2000-08-10,2000-08-09,3,124418,9682727.05,847.78,08-10,32.62,32.62,"(-3.515625, 0.0, 36.8420237038942, 39.649032596592)","(-1.7578125, 38.2455281920133)(-1.7578125, 38.2455281920133)(-2.109375, 38.2455281920133)"
0,2000,6,40,2000-08-10,2000-08-09,3,81768,6713865.05,525.26,08-10,31.02,31.02,"(11.953125, 14.765625, 36.8420237038942, 38.9472804370071)","(13.359375, 37.894652090868625)(13.359375, 37.894652090868625)(13.7109375, 37.894652090868625)"
0,2000,7,40,2000-08-10,2000-08-09,3,37241,3329226.59,249.4,08-10,31.12,31.12,"(9.140625, 10.546875, 39.649032596592, 41.0525367766618)","(9.84375, 40.35078469459051)(9.84375, 40.35078469459051)(9.84375, 40.35078469459051)"
0,2000,8,57,2000-08-27,2000-08-31,5,512725,40257458.12,3129.7,08-30,25.98,25.45,"(-4.921875, 10.546875, 43.1577926653356, 50.8770591457431)","(-1.0546875, 44.21042038111197)(-0.1171875, 45.613923694608104)(2.8125, 46.315675203678865)(3.515625, 47.0174266034471)(3.515625, 47.368302416002685)"
