Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,3,2000-07-04,2000-07-08,5,139760,12768793.15,885.09,07-07,27.52,29.06,"(-9.84375, -5.625, 36.1402713807781, 38.9472804370071)","(-9.140625, 37.192899846346805)(-9.140625, 37.54377597548913)(-7.734375, 37.543775948850524)(-7.734375, 37.543775948850524)(-7.734375, 37.543775948850524)"
0,2000,1,5,2000-07-06,2000-07-08,3,106276,6172159.38,613.08,07-08,24.1,24.17,"(1.40625, 7.03125, 44.5612963074929, 46.6665512870549)","(3.8671875, 45.61392383139052)(4.921875, 45.61392383139052)(4.21875, 45.61392383139052)"
0,2000,2,8,2000-07-09,2000-07-08,3,68574,3972902.45,406.8,07-09,23.44,23.48,"(8.4375, 13.359375, 48.0700542447729, 49.4735568764181)","(10.8984375, 48.7718055748989)(11.25, 48.7718055748989)(10.546875, 48.4209299241393)"
0,2000,3,8,2000-07-09,2000-07-08,3,39640,2237585.95,246.61,07-09,23.37,23.56,"(12.65625, 14.765625, 48.7718056035057, 50.1753080588334)","(13.7109375, 49.4735568462524)(13.7109375, 49.4735568462524)(14.0625, 49.824432467625755)"
0,2000,4,21,2000-07-22,2000-08-01,11,166698,35394713.12,1015.59,07-29,28.99,28.94,"(-9.84375, -6.328125, 36.1402713807781, 41.7542887927827)","(-8.0859375, 38.94728034960657)(-8.0859375, 38.94728034960657)(-8.0859375, 38.94728034960657)(-8.7890625, 38.94728034960657)(-8.7890625, 37.894652090868625)(-8.4375, 37.894652090868625)(-8.0859375, 39.29815640500359)(-8.0859375, 38.94728029120076)(-8.0859375, 38.94728029120076)(-8.0859375, 37.543775948850524)(-8.0859375, 36.84202369115724)"
0,2000,5,36,2000-08-06,2000-08-15,10,222472,35048443.89,1283.23,08-12,25.17,25.44,"(-9.84375, -5.625, 36.8420237038942, 43.8595445166024)","(-9.4921875, 38.94728042245763)(-9.140625, 38.947280393338005)(-8.7890625, 38.596404278430704)(-8.4375, 40.350784470770606)(-8.4375, 40.350784470770606)(-8.0859375, 40.350784470770606)(-8.0859375, 40.350784470770606)(-7.734375, 40.350784470770606)(-7.734375, 41.40341265650116)(-7.734375, 42.806916682807675)"
0,2000,6,37,2000-08-07,2000-08-19,13,306693,47390324.79,1668.14,08-12,19.74,19.84,"(-9.84375, 0.703125, 50.1753080588334, 54.3858129450494)","(-5.9765625, 53.33318703966727)(-3.6328125, 52.280560785003146)(-3.1640625, 52.280560785003146)(-3.8671875, 52.280560785003146)(-4.5703125, 52.280560785003146)(-4.5703125, 52.280560785003146)(-5.625, 52.280560785003146)(-7.03125, 52.280560785003146)(-6.6796875, 52.63143623936477)(-5.2734375, 52.280560785003146)(-5.2734375, 52.280560785003146)(-3.8671875, 52.280560785003146)(-0.3515625, 53.68406238250086)"
0,2000,7,39,2000-08-09,2000-08-18,10,163026,27655699.15,951.06,08-17,23.82,23.85,"(-5.625, 0.703125, 45.263048035017, 50.1753080588334)","(-2.8125, 47.36830277880653)(-2.8125, 47.36830264962253)(-2.8125, 47.71917832577388)(-2.4609375, 47.71917832577388)(-2.8125, 48.070054081596304)(-3.515625, 47.36830272718452)(-3.515625, 47.01742700810422)(-3.1640625, 47.01742694515659)(-2.4609375, 47.01742694515659)(-2.4609375, 47.01742694515659)"
0,2000,8,48,2000-08-18,2000-08-17,3,70952,3681119.37,455.22,08-18,24.29,24.58,"(0.703125, 4.21875, 48.7718056035057, 50.8770591457431)","(2.4609375, 49.824432421125074)(3.1640625, 49.824432421125074)(1.40625, 49.4735568462524)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,0,2001-07-01,2001-07-05,5,151742,8532551.69,651.59,07-02,16.22,16.15,"(-7.734375, -2.109375, 50.1753080588334, 54.3858129450494)","(-5.2734375, 52.280560785003146)(-4.921875, 52.280560785003146)(-4.921875, 52.280560785003146)(-4.5703125, 52.280560785003146)(-4.21875, 54.0349376848948)"
0,2001,1,3,2001-07-04,2001-07-17,14,1390536,205654334.71,7582.81,07-08,22.29,22.02,"(-3.515625, 14.765625, 38.9472804370071, 54.3858129450494)","(0.0, 53.33318703966727)(5.055803571428571, 50.526182671395006)(5.625, 49.122680304154684)(5.625, 48.42092879379559)(5.9765625, 48.0700530042686)(7.3828125, 48.0700530042686)(6.6796875, 45.53295126650986)(7.3828125, 46.66655016834174)(7.3828125, 45.9647983920044)(8.4375, 44.9121712950798)(10.8984375, 42.806916381464276)(11.25, 42.806916381464276)(13.0078125, 44.561296180572874)(13.7109375, 43.859544496476964)"
0,2001,2,4,2001-07-05,2001-07-13,9,382403,56982013.14,2337.47,07-08,26.29,26.29,"(-8.4375, 1.40625, 35.4385190210863, 43.8595445166024)","(-4.921875, 36.140271368586205)(-2.96875, 38.5964039194006)(-3.515625, 39.59055290581862)(-3.515625, 39.649032275410846)(-4.21875, 38.94728021803664)(-4.21875, 38.94728021803664)(-4.21875, 38.94728021803664)(-3.8671875, 38.94728021803664)(-2.4609375, 39.2981564572253)"
0,2001,3,4,2001-07-05,2001-07-07,3,44339,3096422.82,268.29,07-07,28.01,28.6,"(0.703125, 2.109375, 35.4385190210863, 36.8420237038942)","(1.40625, 36.49114754233615)(1.40625, 36.140271368586205)(1.40625, 36.140271368586205)"
0,2001,4,9,2001-07-10,2001-07-17,8,117339,17670615.93,642.67,07-16,26.7,26.92,"(10.546875, 14.0625, 35.4385190210863, 38.2455282337738)","(13.359375, 36.140271368586205)(12.65625, 36.140271368586205)(12.65625, 36.140271368586205)(12.3046875, 36.84202366566636)(12.3046875, 36.84202366566636)(12.3046875, 36.84202366566636)(12.3046875, 36.84202366566636)(12.65625, 36.84202366566636)"
0,2001,5,17,2001-07-18,2001-07-22,5,123472,11494601.74,621.5,07-20,23.4,23.76,"(-9.84375, -7.03125, 36.8420237038942, 41.0525367766618)","(-9.140625, 38.2455281920133)(-8.7890625, 38.94728034960657)(-8.4375, 38.94728034960657)(-8.4375, 38.94728034960657)(-8.4375, 38.94728034960657)"
0,2001,6,22,2001-07-23,2001-07-30,8,308807,30995790.83,1315.29,07-28,17.27,17.38,"(2.109375, 14.765625, 43.8595445166024, 50.8770591457431)","(5.9765625, 48.420929714614644)(8.3203125, 48.070054081596304)(8.7890625, 47.71917820594272)(10.1953125, 45.61392377445938)(6.6796875, 46.31567531187936)(6.6796875, 46.31567531187936)(7.03125, 46.31567531187936)(6.328125, 47.36830272718452)"
0,2001,7,22,2001-07-23,2001-07-27,5,90214,6493799.48,415.0,07-24,17.45,17.46,"(-2.8125, 2.109375, 50.1753080588334, 53.6840624247402)","(-1.7578125, 51.92968551659975)(0.0, 52.28056089822784)(0.0, 51.92968551659975)(-0.3515625, 52.28056089822784)(0.3515625, 51.929685424995434)"
0,2001,8,24,2001-07-25,2001-08-01,8,236442,36392849.03,1345.26,07-26,26.79,26.82,"(-9.140625, -4.921875, 37.5437759887994, 43.1577926653356)","(-6.6796875, 40.70166071913855)(-7.03125, 40.35078455088668)(-7.03125, 40.35078455088668)(-7.03125, 40.350784614835014)(-7.3828125, 40.35078455088668)(-7.3828125, 40.35078455088668)(-7.3828125, 40.35078455088668)(-7.734375, 41.052536676486696)"
0,2001,9,26,2001-07-27,2001-07-30,4,153597,11733766.49,758.94,07-29,20.95,20.97,"(-2.8125, 3.515625, 43.8595445166024, 47.3683028045918)","(0.3515625, 45.61392377445938)(1.0546875, 45.61392377445938)(0.0, 45.61392377445938)(-0.3515625, 45.2630479684329)"
0,2001,10,33,2001-08-03,2001-08-19,17,737893,182626536.9,4209.17,08-14,23.96,23.99,"(-9.84375, 4.921875, 35.4385190210863, 50.8770591457431)","(-2.963169642857143, 45.14608905185671)(-2.8125, 44.21042004944476)(-2.8125, 43.157792124047326)(-2.4609375, 43.85954359938245)(-2.109375, 43.85954359938245)(-2.4609375, 43.157791967824416)(-2.8125, 43.85954359938245)(-2.8125, 45.613923142364825)(-2.4609375, 43.85954339228113)(-2.4609375, 39.999908277702424)(-2.4609375, 39.649032275410846)(-2.4609375, 39.999908277702424)(-3.515625, 39.649032275410846)(-1.0546875, 39.649032275410846)(-0.4474431818181818, 39.96801048706981)(3.1640625, 42.806916682807675)(3.515625, 42.45604073820943)"
