Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,0,2000-07-01,2000-07-03,3,68700,4289809.36,464.91,07-02,28.45,28.51,"(11.25, 14.765625, 44.5612963074929, 45.9647996959973)","(13.0078125, 45.26304801283573)(13.0078125, 45.26304801283573)(14.0625, 44.5612963074929)"
0,2000,1,4,2000-07-05,2000-07-09,5,122888,8188949.12,695.58,07-08,21.77,22.21,"(-5.625, -0.703125, 45.9647996959973, 49.4735568764181)","(-4.921875, 48.070054217623465)(-3.8671875, 47.71917841872345)(-3.515625, 47.71917841872345)(-3.1640625, 47.71917841872345)(-2.8125, 47.649003253513555)"
0,2000,2,4,2000-07-05,2000-07-08,4,295081,18463789.53,1587.13,07-08,19.81,20.13,"(-9.84375, 1.40625, 50.1753080588334, 54.3858129450494)","(-4.9921875, 54.0349376848948)(-4.5703125, 52.280560785003146)(-4.5703125, 52.280560785003146)(-4.21875, 52.280560785003146)"
0,2000,3,14,2000-07-15,2000-07-31,17,889458,158441050.15,5496.84,07-26,21.5,22.2,"(-9.84375, 14.765625, 48.0700542447729, 54.3858129450494)","(-8.4375, 52.9823116580891)(-8.7890625, 52.9823116580891)(-3.7224264705882355, 51.57880977499397)(-2.8828125, 51.57880977499397)(0.3515625, 51.57880977499397)(1.0546875, 52.280560785003146)(2.109375, 52.280560785003146)(2.4609375, 52.280560785003146)(2.4609375, 52.280560785003146)(2.4609375, 52.63143623936477)(2.4609375, 51.92968529643001)(2.4609375, 51.22793422197187)(2.8125, 51.22793422197187)(4.896763392857143, 51.22793422197187)(4.985795454545454, 52.9823116580891)(3.7667410714285716, 52.9823116580891)(2.8125, 52.280560973551964)"
0,2000,4,24,2000-07-25,2000-07-27,3,68684,3677540.74,372.46,07-27,21.61,21.71,"(-5.625, -1.40625, 47.3683028045918, 49.4735568764181)","(-3.8671875, 48.7718055748989)(-3.8671875, 48.42092988232212)(-3.515625, 48.42092988232212)"
0,2000,5,33,2000-08-03,2000-08-08,6,71146,6195577.92,415.23,08-07,21.16,21.26,"(0.703125, 4.921875, 50.8770591457431, 52.982311777713)","(2.4609375, 52.280560973551964)(2.8125, 52.280560973551964)(2.4609375, 52.280560973551964)(2.4609375, 51.92968551659975)(2.8125, 51.92968551659975)(2.8125, 52.280560973551964)"
0,2000,6,35,2000-08-05,2000-08-14,10,168156,21828153.49,886.17,08-11,19.14,19.26,"(-9.84375, -2.109375, 51.5788101317764, 54.3858129450494)","(-4.5703125, 54.0349376848948)(-4.21875, 53.68406238250086)(-6.328125, 53.68406238250086)(-6.328125, 52.9823116580891)(-6.328125, 52.9823116580891)(-6.328125, 52.9823116580891)(-5.9765625, 52.9823116580891)(-6.6796875, 52.9823116580891)(-6.6796875, 52.9823116580891)(-6.328125, 52.9823116580891)"
0,2000,7,35,2000-08-05,2000-08-09,5,65212,4894233.64,385.85,08-08,20.88,21.15,"(4.921875, 9.140625, 52.982311777713, 54.3858129450494)","(6.6796875, 54.0349376848948)(7.03125, 53.68406238250086)(7.03125, 53.68406238250086)(7.03125, 53.68406238250086)(7.03125, 54.0349376848948)"
0,2000,8,36,2000-08-06,2000-08-13,8,317801,50718334.49,2125.83,08-09,32.57,32.62,"(1.40625, 14.765625, 35.4385190210863, 38.9472804370071)","(8.7890625, 36.84202369115724)(5.9765625, 36.491147523639505)(7.6171875, 36.84202366566636)(8.0859375, 37.19289979422315)(10.1953125, 37.19289979422315)(11.6015625, 36.84202366566636)(11.6015625, 37.19289979422315)(11.953125, 37.19289979422315)"
0,2000,9,36,2000-08-06,2000-08-08,3,43294,2014887.1,243.23,08-07,19.94,20.01,"(-2.109375, 0.703125, 52.982311777713, 54.3858129450494)","(-0.703125, 53.68406238250086)(-0.703125, 53.68406238250086)(-0.3515625, 54.0349376848948)"
0,2000,10,40,2000-08-10,2000-08-09,3,84441,7015871.39,595.1,08-09,30.92,30.97,"(12.65625, 14.765625, 41.7542887927827, 44.5612963074929)","(13.7109375, 43.157792607744724)(13.7109375, 43.157792607744724)(13.7109375, 43.157792607744724)"
0,2000,11,50,2000-08-20,2000-08-22,3,113195,6136414.29,689.36,08-21,21.71,21.86,"(4.21875, 10.546875, 52.2805610111665, 54.3858129450494)","(6.328125, 53.33318703966727)(7.3828125, 53.33318703966727)(7.3828125, 53.33318703966727)"
0,2000,12,51,2000-08-21,2000-08-23,3,121130,6941678.75,829.0,08-22,23.03,23.4,"(10.546875, 14.765625, 51.5788101317764, 54.3858129450494)","(12.65625, 52.9823116580891)(12.65625, 52.9823116580891)(13.0078125, 53.33318703966727)"
0,2000,13,56,2000-08-26,2000-08-25,3,90004,5858919.65,568.31,08-25,27.43,27.3,"(9.84375, 13.359375, 43.8595445166024, 46.6665512870549)","(11.25, 45.2630479684329)(11.953125, 45.2630479684329)(11.6015625, 45.2630479684329)"
0,2000,14,59,2000-08-29,2000-08-31,3,42274,2783124.94,232.74,08-31,25.7,25.73,"(-9.84375, -8.4375, 38.9472804370071, 40.3507847105177)","(-9.140625, 39.29815651679955)(-9.140625, 39.64903258137227)(-9.140625, 39.64903258137227)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,10,2001-07-11,2001-07-14,4,86417,6474145.55,459.15,07-13,24.18,24.5,"(-9.84375, -7.734375, 36.8420237038942, 39.649032596592)","(-9.140625, 37.543775968834)(-8.7890625, 38.2455281920133)(-8.7890625, 38.2455281920133)(-8.7890625, 38.2455281920133)"
0,2001,1,34,2001-08-04,2001-08-08,5,169412,9021293.95,827.64,08-04,18.32,17.97,"(-9.84375, -2.8125, 51.5788101317764, 54.3858129450494)","(-6.328125, 52.9823116580891)(-6.6796875, 52.9823116580891)(-6.328125, 52.9823116580891)(-8.4375, 53.33318703966727)(-9.140625, 53.68406238250086)"
0,2001,2,37,2001-08-07,2001-08-09,3,36189,1878763.41,213.43,08-07,20.86,20.8,"(5.625, 8.4375, 52.982311777713, 54.3858129450494)","(7.03125, 53.68406238250086)(6.6796875, 54.0349376848948)(7.03125, 53.68406238250086)"
0,2001,3,40,2001-08-10,2001-08-09,4,83795,7699705.52,555.88,08-09,31.4,31.92,"(0.0, 3.515625, 35.4385190210863, 36.8420237038942)","(1.7578125, 36.140271368586205)(1.40625, 36.49114754233615)(1.7578125, 36.140271368586205)(1.7578125, 36.140271368586205)"
0,2001,4,40,2001-08-10,2001-08-09,3,94591,5133671.15,545.66,08-10,21.15,21.11,"(9.84375, 14.765625, 52.2805610111665, 54.3858129450494)","(12.65625, 53.33318703966727)(12.65625, 53.68406238250086)(12.3046875, 53.33318703966727)"
0,2001,5,40,2001-08-10,2001-08-09,3,62650,4778179.22,359.71,08-11,29.38,29.18,"(-2.8125, -0.703125, 36.8420237038942, 38.9472804370071)","(-1.7578125, 37.894652090868625)(-1.7578125, 37.894652090868625)(-1.40625, 37.894652090868625)"
0,2001,6,40,2001-08-10,2001-08-12,3,67206,5283209.89,432.99,08-11,29.55,29.47,"(11.953125, 14.0625, 41.7542887927827, 43.8595445166024)","(13.0078125, 42.806916682807675)(13.0078125, 42.806916682807675)(13.0078125, 42.806916682807675)"
0,2001,7,45,2001-08-15,2001-08-26,12,698871,71478542.93,3929.32,08-18,26.38,26.13,"(-8.4375, 2.109375, 35.4385190210863, 43.8595445166024)","(-6.6796875, 40.250534210114374)(-5.9765625, 39.074871479177816)(-3.8671875, 39.649032275410846)(-3.1640625, 39.649032275410846)(-2.4609375, 39.649032275410846)(-1.40625, 38.94728021803664)(-1.7578125, 37.894652009056074)(-2.8125, 37.54377590884727)(-2.8125, 37.19289979422315)(-1.7578125, 37.54377597548913)(-1.7578125, 37.54377597548913)(-1.7578125, 37.54377597548913)"
0,2001,8,48,2001-08-18,2001-08-21,4,69016,6290121.83,436.98,08-19,30.27,30.39,"(0.0, 2.8125, 35.4385190210863, 36.8420237038942)","(1.40625, 36.140271368586205)(1.40625, 36.140271368586205)(1.40625, 36.140271368586205)(2.109375, 35.789395200932205)"
0,2001,9,49,2001-08-19,2001-08-31,13,631137,130455973.0,3672.42,08-25,23.09,23.56,"(4.21875, 14.765625, 38.9472804370071, 47.3683028045918)","(8.4375, 43.85954428960653)(9.4921875, 43.157792260166396)(9.84375, 42.806916381464276)(10.546875, 43.157792260166396)(9.84375, 42.806916381464276)(9.4921875, 42.806916381464276)(9.4921875, 43.157792260166396)(9.4921875, 43.157792260166396)(10.1953125, 42.45604048095604)(10.1953125, 42.806916381464276)(10.546875, 42.806916381464276)(11.25, 42.806916381464276)(11.6015625, 42.45604048095604)"
0,2001,10,51,2001-08-21,2001-08-31,11,194632,42325447.48,1119.27,08-27,26.32,26.58,"(9.140625, 14.765625, 35.4385190210863, 38.9472804370071)","(12.65625, 36.84202366566636)(13.0078125, 37.19289979422315)(12.65625, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(12.3046875, 37.19289979422315)(12.65625, 37.19289979422315)(12.3046875, 36.84202366566636)(12.3046875, 36.84202366566636)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
