Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,0,2000-07-01,2000-07-03,3,51378,4371772.45,323.06,07-02,29.27,29.27,"(-3.515625, -2.109375, 38.9472804370071, 41.0525367766618)","(-2.8125, 39.99990863019465)(-2.8125, 39.99990863019465)(-2.8125, 39.99990863019465)"
0,2000,1,1,2000-07-02,2000-07-06,5,121907,12560755.01,782.95,07-05,30.56,30.95,"(-7.734375, -4.21875, 35.4385190210863, 38.2455282337738)","(-4.921875, 36.140271368586205)(-5.2734375, 36.140271368586205)(-5.9765625, 36.84202366566636)(-5.9765625, 36.84202366566636)(-5.9765625, 36.84202366566636)"
0,2000,2,7,2000-07-08,2000-07-12,5,68394,9029501.61,480.96,07-09,33.53,33.62,"(7.734375, 10.546875, 36.1402713807781, 37.5437759887994)","(9.140625, 36.84202369115724)(9.140625, 36.84202369115724)(9.140625, 36.84202369115724)(9.140625, 36.84202369115724)(9.140625, 36.84202369115724)"
0,2000,3,7,2000-07-08,2000-07-12,5,101924,11747314.42,660.44,07-09,30.04,30.16,"(7.734375, 9.84375, 38.9472804370071, 42.45604075651)","(8.4375, 39.99990863019465)(8.7890625, 40.70166067834521)(8.7890625, 40.70166067834521)(8.4375, 40.70166067834521)(8.4375, 40.70166067834521)"
0,2000,4,8,2000-07-09,2000-07-13,5,67348,9086571.39,436.79,07-12,31.01,31.03,"(12.65625, 14.765625, 36.8420237038942, 38.9472804370071)","(13.7109375, 38.2455282198601)(13.7109375, 38.2455282198601)(13.7109375, 37.894652090868625)(13.7109375, 37.894652090868625)(14.0625, 37.894652090868625)"
0,2000,5,8,2000-07-09,2000-07-13,5,489397,44641009.34,3202.22,07-12,28.71,28.34,"(6.328125, 14.765625, 40.3507847105177, 48.7718056035057)","(13.7109375, 43.157792607744724)(11.953125, 43.50866835439724)(10.546875, 44.21042004944476)(10.546875, 44.5612958612956)(11.6015625, 44.5612958612956)"
0,2000,6,25,2000-07-26,2000-07-28,3,88546,8610507.25,622.63,07-28,34.32,34.32,"(3.515625, 7.734375, 35.4385190210863, 36.8420237038942)","(5.625, 36.140271368586205)(5.625, 36.140271368586205)(5.625, 36.140271368586205)"
0,2000,7,32,2000-08-02,2000-08-01,10,441264,61713867.32,3020.54,07-29,29.03,28.97,"(7.734375, 14.765625, 40.3507847105177, 50.1753080588334)","(11.953125, 43.85954439567685)(11.6015625, 44.2104202570991)(13.7109375, 43.157792607744724)(12.65625, 46.31567545566524)(11.953125, 45.26304740880629)(11.6015625, 45.26304740880629)(11.25, 44.912171648090066)(11.6015625, 43.15779247299083)(11.6015625, 42.65654114918824)(11.6015625, 44.2104202570991)"
0,2000,8,27,2000-07-28,2000-07-30,3,42274,3420836.35,287.2,07-29,31.68,31.69,"(8.4375, 9.84375, 38.9472804370071, 40.3507847105177)","(9.140625, 39.999908653554854)(9.140625, 39.64903258137227)(9.140625, 39.64903258137227)"
0,2000,9,32,2000-08-02,2000-08-01,7,97090,15572542.63,619.02,07-30,31.04,31.07,"(11.953125, 14.765625, 35.4385190210863, 38.9472804370071)","(13.7109375, 37.19289982681138)(13.359375, 37.19289982681138)(13.359375, 37.19289982681138)(14.0625, 38.2455282198601)(13.359375, 37.19289979422315)(13.359375, 36.84202366566636)(13.7109375, 36.140271368586205)"
0,2000,10,38,2000-08-08,2000-08-13,6,452665,50895812.88,2944.22,08-10,30.96,31.28,"(-9.84375, -2.109375, 35.4385190210863, 42.45604075651)","(-3.8671875, 41.052536759987404)(-4.5703125, 39.99990859122252)(-5.9765625, 38.94728021803664)(-5.9765625, 38.94728021803664)(-6.328125, 38.94728021803664)(-4.921875, 39.99990853658056)"
0,2000,11,40,2000-08-10,2000-08-09,3,76700,4197514.08,486.58,08-09,26.66,26.63,"(9.140625, 12.65625, 44.5612963074929, 46.6665512870549)","(10.546875, 45.26304801283573)(10.8984375, 46.3156754915261)(10.8984375, 45.61392383139052)"
0,2000,12,52,2000-08-22,2000-08-24,3,85818,6970578.08,581.14,08-23,32.47,32.46,"(-5.625, -2.8125, 37.5437759887994, 39.649032596592)","(-4.21875, 38.59640431404308)(-4.21875, 38.59640431404308)(-4.21875, 38.2455282198601)"
0,2000,13,58,2000-08-28,2000-08-31,4,174210,13773123.88,1057.57,08-30,27.75,27.83,"(-8.4375, -2.8125, 39.649032596592, 42.45604075651)","(-7.3828125, 41.052536759987404)(-5.625, 41.05253672661284)(-5.625, 41.05253672661284)(-5.2734375, 41.05253672661284)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,2,2001-07-03,2001-07-06,4,98114,5131386.31,502.2,07-04,22.61,22.25,"(7.734375, 11.953125, 44.5612963074929, 46.6665512870549)","(9.4921875, 46.3156754915261)(9.84375, 45.61392383139052)(10.1953125, 45.26304801283573)(9.84375, 44.91217217125495)"
0,2001,1,8,2001-07-09,2001-07-08,3,42700,2052672.69,166.23,07-09,18.75,18.8,"(-9.84375, -8.4375, 38.2455282337738, 39.649032596592)","(-9.140625, 38.94728042245763)(-9.4921875, 38.94728042245763)(-9.140625, 38.94728042245763)"
0,2001,2,14,2001-07-15,2001-07-19,5,98307,9339418.16,576.44,07-16,28.28,28.74,"(9.84375, 13.359375, 35.4385190210863, 37.5437759887994)","(11.6015625, 36.140271368586205)(11.6015625, 36.491147523639505)(11.6015625, 36.491147523639505)(11.6015625, 36.491147523639505)(11.953125, 35.789395200932205)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
0,2002,0,0,2002-07-01,2002-07-07,7,328327,47906660.61,1891.49,07-05,28.58,28.67,"(0.703125, 14.765625, 35.4385190210863, 38.9472804370071)","(4.98046875, 36.140271368586205)(7.327302631578948, 36.491147523639505)(7.734375, 37.19289979422315)(8.4375, 37.19289979422315)(8.4375, 37.19289979422315)(8.4375, 37.19289979422315)(14.4140625, 38.596404335390446)"
0,2002,1,0,2002-07-01,2002-07-10,10,1206411,142083124.11,6250.19,07-05,21.75,21.94,"(1.40625, 14.765625, 38.9472804370071, 54.3858129450494)","(11.6015625, 45.263046370185464)(9.052734375, 45.263046370185464)(8.0859375, 45.890929521946795)(8.0859375, 46.66654963486444)(8.4375, 46.66654963486444)(8.7890625, 46.66654963486444)(10.546875, 47.36830136039442)(11.953125, 47.71917719288825)(11.25, 48.77180456069475)(12.3046875, 50.877058638573686)"
0,2002,2,2,2002-07-03,2002-07-05,3,77711,4880485.76,463.91,07-03,25.91,26.01,"(-1.40625, 1.40625, 40.3507847105177, 42.45604075651)","(0.0, 41.403412759118055)(0.0, 41.403412759118055)(0.0, 41.403412759118055)"
0,2002,3,3,2002-07-04,2002-07-06,3,81487,5896637.02,472.87,07-05,28.71,28.59,"(-2.8125, -0.703125, 36.8420237038942, 39.649032596592)","(-1.7578125, 38.2455281920133)(-1.7578125, 38.2455281920133)(-1.7578125, 38.2455281920133)"
0,2002,4,24,2002-07-25,2002-07-29,5,339753,26797785.88,1635.35,07-27,23.5,22.94,"(-7.03125, 1.40625, 36.8420237038942, 43.8595445166024)","(-3.1640625, 41.75428874036156)(-2.8125, 40.350784470770606)(-2.4609375, 40.350784470770606)(-1.0546875, 40.350784470770606)(-1.0546875, 40.350784470770606)"
0,2002,5,24,2002-07-25,2002-07-29,5,136987,6740256.68,630.2,07-29,18.32,18.62,"(-4.921875, 0.703125, 45.263048035017, 48.7718056035057)","(-1.7578125, 46.666551262548005)(-1.7578125, 46.666551262548005)(-2.4609375, 47.01742700810422)(-2.8125, 47.01742700810422)(-2.109375, 47.01742694515659)"
