Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,0,2000-07-01,2000-07-03,3,59118,4906403.12,421.09,07-02,34.17,34.28,"(8.4375, 10.546875, 35.4385190210863, 36.8420237038942)","(9.4921875, 36.140271368586205)(9.4921875, 36.140271368586205)(9.4921875, 35.789395200932205)"
0,2000,1,32,2000-08-02,2000-08-01,4,126522,12956774.11,873.09,08-02,33.27,33.24,"(-7.734375, -2.8125, 35.4385190210863, 38.2455282337738)","(-5.2734375, 36.84202366566636)(-5.2734375, 36.84202366566636)(-4.921875, 36.491147523639505)(-5.2734375, 36.84202366566636)"
0,2000,2,56,2000-08-26,2000-08-25,4,54148,5725524.42,364.68,08-25,33.15,33.15,"(7.734375, 9.84375, 35.4385190210863, 36.8420237038942)","(8.7890625, 36.140271368586205)(9.140625, 35.789395200932205)(8.7890625, 36.140271368586205)(8.7890625, 36.140271368586205)"
0,2000,3,56,2000-08-26,2000-08-25,3,37321,2129799.99,233.99,08-25,22.82,22.87,"(12.65625, 14.765625, 51.5788101317764, 52.982311777713)","(13.7109375, 52.280560973551964)(14.0625, 52.280560973551964)(13.7109375, 52.280560973551964)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,0,2001-07-01,2001-07-04,4,287819,15366891.53,1232.25,07-01,19.01,18.42,"(-7.734375, -1.40625, 38.9472804370071, 43.8595445166024)","(-4.5703125, 41.40341265650116)(-4.5703125, 41.40341265650116)(-4.5703125, 41.75428868785746)(-2.8125, 41.754288775318166)"
0,2001,1,0,2001-07-01,2001-07-04,4,143390,6285198.28,567.85,07-03,16.49,16.56,"(-5.625, 1.40625, 46.6665512870549, 49.4735568764181)","(-4.5703125, 48.4209299241393)(-3.1640625, 47.71917848498133)(-2.109375, 47.71917848498133)(-1.40625, 48.070054163268686)"
0,2001,2,0,2001-07-01,2001-07-06,6,372131,22285784.96,1502.64,07-04,15.33,15.24,"(-9.84375, 2.8125, 50.1753080588334, 54.3858129450494)","(-5.9765625, 52.63143623936477)(-5.9765625, 52.280560785003146)(-4.921875, 52.280560785003146)(-3.515625, 52.280560785003146)(-2.8125, 52.280560785003146)(-0.3515625, 52.63143623936477)"
0,2001,3,2,2001-07-03,2001-07-06,4,285570,12021947.26,1166.0,07-05,15.1,14.88,"(3.515625, 14.765625, 50.8770591457431, 54.3858129450494)","(9.84375, 52.9823116580891)(9.4921875, 52.63143623936477)(9.140625, 52.63143623936477)(10.8984375, 53.33318703966727)"
