Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,5,2000-07-06,2000-07-08,3,60113,2935309.25,335.47,07-07,23.69,23.56,"(5.625, 9.140625, 44.5612963074929, 45.9647996959973)","(7.03125, 45.26304801283573)(7.3828125, 45.26304801283573)(7.734375, 44.91217217125495)"
0,2000,1,6,2000-07-07,2000-07-17,11,1084441,151058844.72,6666.54,07-13,27.8,26.6,"(-9.84375, 14.765625, 36.8420237038942, 51.5788101317764)","(-3.1640625, 39.2981564572253)(-2.8125, 38.94728034960657)(-4.21875, 39.99990846618743)(-3.515625, 42.02419218892278)(-0.8629261363636364, 44.5612951269422)(1.40625, 45.61392294478921)(2.4609375, 45.30432669767427)(2.4609375, 44.912171648090066)(3.515625, 44.91217179052708)(6.64453125, 45.1928724304387)(10.6875, 44.91217217125495)"
0,2000,2,15,2000-07-16,2000-07-20,5,172052,16842075.2,1076.85,07-18,29.21,28.77,"(-4.21875, 0.703125, 39.649032596592, 44.5612963074929)","(-0.703125, 40.70166071913855)(-0.703125, 40.70166071913855)(-1.7578125, 42.10516464031189)(-1.7578125, 42.10516464031189)(-2.109375, 42.45604064655759)"
0,2000,3,32,2000-08-02,2000-08-01,3,72616,3082267.21,396.93,08-01,19.21,19.33,"(-9.84375, -5.625, 52.2805610111665, 54.3858129450494)","(-8.0859375, 53.68406238250086)(-7.734375, 53.33318703966727)(-7.734375, 53.33318703966727)"
0,2000,4,40,2000-08-10,2000-08-09,3,54192,4455515.91,359.06,08-10,32.28,32.3,"(-5.625, -3.515625, 35.4385190210863, 36.8420237038942)","(-4.5703125, 36.140271368586205)(-4.5703125, 36.140271368586205)(-4.5703125, 36.140271368586205)"
0,2000,5,40,2000-08-10,2000-08-09,3,52374,4633987.35,362.8,08-10,32.38,32.41,"(-2.109375, -0.703125, 37.5437759887994, 39.649032596592)","(-1.40625, 38.59640431404308)(-1.40625, 38.59640431404308)(-1.40625, 38.59640431404308)"
0,2000,6,42,2000-08-12,2000-08-14,3,43294,2552298.22,270.55,08-13,22.12,22.15,"(11.953125, 14.765625, 52.982311777713, 54.3858129450494)","(13.359375, 53.68406238250086)(13.359375, 53.68406238250086)(13.7109375, 53.68406238250086)"
0,2000,7,44,2000-08-14,2000-08-16,3,55983,2717220.45,286.42,08-15,19.15,19.15,"(-9.84375, -5.625, 51.5788101317764, 52.982311777713)","(-8.4375, 52.280560973551964)(-7.734375, 52.280560973551964)(-7.3828125, 52.280560973551964)"
0,2000,8,48,2000-08-18,2000-08-25,8,415740,36550014.34,2326.6,08-22,19.78,20.03,"(-9.84375, 4.921875, 50.1753080588334, 54.3858129450494)","(-8.4375, 51.92968557147145)(-6.6796875, 52.280560785003146)(-4.921875, 52.280560785003146)(-4.5703125, 52.280560785003146)(-2.8125, 52.280560785003146)(-2.8125, 52.63143623936477)(-2.109375, 52.63143623936477)(1.7578125, 52.9823116580891)"
