Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,3,2000-07-04,2000-07-11,8,260812,38830451.59,1706.97,07-09,30.03,30.26,"(-8.4375, -4.21875, 36.8420237038942, 43.1577926653356)","(-6.6796875, 40.35078466271226)(-6.6796875, 39.649032505162076)(-6.6796875, 39.99990853658056)(-6.6796875, 39.649032444059856)(-6.6796875, 39.99990846618743)(-6.328125, 39.99990846618743)(-5.625, 40.35078455088668)(-5.625, 41.05253672661284)"
0,2000,1,13,2000-07-14,2000-07-18,5,187996,17311258.36,1193.43,07-16,28.71,28.83,"(-8.4375, -3.515625, 39.649032596592, 43.1577926653356)","(-5.625, 40.35078469459051)(-5.625, 40.70166071913855)(-5.9765625, 41.40341271639997)(-5.9765625, 41.40341271639997)(-5.2734375, 42.45604073820943)"
0,2000,2,18,2000-07-19,2000-07-26,8,652514,68983984.41,4150.15,07-24,24.15,24.26,"(1.40625, 14.765625, 45.263048035017, 54.3858129450494)","(4.21875, 48.070054081596304)(7.3828125, 49.12268088598601)(7.734375, 49.824431717312834)(8.178453947368421, 49.473556238256165)(8.0859375, 50.175307385181746)(8.4375, 50.175307385181746)(10.546875, 50.877058638573686)(12.3046875, 52.9823116580891)"
0,2000,3,32,2000-08-02,2000-08-01,13,557426,111821052.94,3647.88,08-05,29.41,29.32,"(7.03125, 14.765625, 38.9472804370071, 48.7718056035057)","(10.8984375, 43.85954431482829)(10.8984375, 43.508668245429675)(10.8984375, 43.157792260166396)(10.8984375, 43.85954394869612)(10.8984375, 43.85954394869612)(11.25, 42.45604048095604)(9.4921875, 41.40341265650116)(8.7890625, 43.157792646149325)(11.1796875, 43.78936900410712)(11.1796875, 43.859544213505835)(11.25, 43.50866835439724)(11.25, 43.859544213505835)(11.25, 44.21042016380464)"
0,2000,4,27,2000-07-28,2000-07-31,4,40205,3198629.31,235.69,07-29,23.37,23.42,"(12.65625, 14.765625, 48.0700542447729, 49.4735568764181)","(13.7109375, 48.7718055748989)(13.7109375, 48.7718055748989)(14.4140625, 49.1226812399619)(13.7109375, 48.7718055748989)"
0,2000,5,32,2000-08-02,2000-08-05,4,78448,8743260.89,518.94,08-04,30.54,30.53,"(-7.734375, -4.921875, 39.649032596592, 41.7542887927827)","(-6.328125, 40.70166071913855)(-6.328125, 40.70166071913855)(-6.328125, 40.70166071913855)(-5.9765625, 40.70166071913855)"
0,2000,6,32,2000-08-02,2000-08-04,3,35549,3121955.43,237.24,08-03,29.27,29.27,"(3.515625, 4.921875, 42.45604075651, 43.8595445166024)","(4.21875, 43.157792646149325)(4.21875, 43.157792646149325)(4.21875, 43.157792646149325)"
0,2000,7,34,2000-08-04,2000-08-08,5,97767,11736850.6,609.66,08-06,30.32,30.35,"(11.25, 14.0625, 35.4385190210863, 38.2455282337738)","(13.0078125, 36.491147523639505)(12.65625, 36.84202366566636)(12.65625, 36.84202366566636)(12.65625, 36.84202366566636)(13.0078125, 36.140271368586205)"
0,2000,8,37,2000-08-07,2000-08-12,6,199808,24616111.16,1354.26,08-10,32.3,32.19,"(-5.625, 1.40625, 36.8420237038942, 40.3507847105177)","(-4.21875, 39.29815649447265)(-4.21875, 39.64903258137227)(-2.4609375, 38.596404278430704)(-2.109375, 38.596404278430704)(-1.40625, 38.596404278430704)(-0.703125, 38.596404278430704)"
0,2000,9,40,2000-08-10,2000-08-09,4,53252,4709994.76,386.73,08-10,34.66,34.74,"(-6.328125, -4.21875, 36.8420237038942, 38.2455282337738)","(-5.2734375, 37.54377597548913)(-4.5703125, 37.192899846346805)(-5.2734375, 37.54377597548913)(-5.2734375, 37.54377597548913)"
0,2000,10,52,2000-08-22,2000-08-25,4,232564,18662664.56,1416.36,08-24,27.5,27.53,"(-9.140625, -2.109375, 39.649032596592, 43.1577926653356)","(-6.328125, 41.40341271639997)(-5.625, 41.40341271639997)(-5.625, 41.40341271639997)(-4.921875, 41.75428874036156)"
0,2000,11,53,2000-08-23,2000-08-25,3,102547,7291422.13,670.41,08-25,28.04,28.22,"(-1.40625, 1.40625, 41.7542887927827, 44.5612963074929)","(0.0, 43.50866856148522)(0.0, 43.157792607744724)(0.0, 43.157792607744724)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,0,2001-07-01,2001-07-03,3,50998,1472956.49,153.86,07-01,11.65,11.56,"(-9.84375, -7.734375, 52.2805610111665, 54.3858129450494)","(-8.7890625, 53.33318703966727)(-9.140625, 53.33318703966727)(-9.140625, 53.33318703966727)"
0,2001,1,34,2001-08-04,2001-08-08,5,71445,7816951.89,437.48,08-06,30.62,30.37,"(-8.4375, -6.328125, 37.5437759887994, 39.649032596592)","(-7.734375, 38.59640431404308)(-7.3828125, 38.59640431404308)(-7.3828125, 38.59640431404308)(-7.3828125, 38.59640431404308)(-7.03125, 38.94728042245763)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
0,2002,0,7,2002-07-08,2002-07-12,5,65569,3722531.93,308.72,07-11,15.94,16.17,"(-9.84375, -7.03125, 52.2805610111665, 54.3858129450494)","(-8.7890625, 53.33318703966727)(-8.4375, 52.98231173787323)(-8.7890625, 53.33318703966727)(-8.4375, 53.33318703966727)(-8.0859375, 52.631436394439746)"
0,2002,1,13,2002-07-14,2002-07-18,5,50878,3070134.95,194.06,07-17,13.89,13.83,"(-9.84375, -7.734375, 52.2805610111665, 54.3858129450494)","(-8.7890625, 53.33318703966727)(-8.7890625, 53.33318703966727)(-8.7890625, 53.33318703966727)(-8.7890625, 53.33318703966727)(-8.7890625, 53.33318703966727)"
0,2002,2,17,2002-07-18,2002-07-26,9,298823,20362803.25,1346.41,07-22,16.03,16.38,"(-9.84375, 0.703125, 50.8770591457431, 54.3858129450494)","(-6.6796875, 53.68406238250086)(-3.4375, 53.68406238250086)(-3.8671875, 53.33318703966727)(-4.921875, 52.63143623936477)(-4.921875, 52.63143623936477)(-4.5703125, 52.63143623936477)(-7.03125, 53.33318703966727)(-6.328125, 53.68406238250086)(-4.921875, 53.68406238250086)"
0,2002,3,18,2002-07-19,2002-07-25,7,693003,77064762.63,4015.03,07-23,23.84,23.68,"(-1.40625, 11.953125, 43.8595445166024, 52.2805610111665)","(1.7578125, 47.01742685685633)(4.5703125, 48.42092943353084)(5.2734375, 48.42092943353084)(5.2734375, 47.71917805898383)(5.625, 48.070053670690186)(5.9765625, 48.070053670690186)(4.921875, 46.10514974147818)"
0,2002,4,32,2002-08-02,2002-08-01,4,54148,5802592.46,346.77,07-30,31.62,31.82,"(7.734375, 9.84375, 35.4385190210863, 36.8420237038942)","(9.140625, 35.789395200932205)(8.7890625, 36.140271368586205)(8.7890625, 36.140271368586205)(8.7890625, 36.140271368586205)"
0,2002,5,33,2002-08-03,2002-08-08,6,88546,11644037.36,542.67,08-07,29.83,29.95,"(6.328125, 10.546875, 35.4385190210863, 36.8420237038942)","(7.734375, 36.140271368586205)(7.734375, 36.140271368586205)(7.734375, 36.140271368586205)(8.4375, 36.49114754233615)(8.4375, 36.140271368586205)(9.4921875, 36.140271368586205)"
0,2002,6,36,2002-08-06,2002-08-10,5,185037,19740078.38,1194.63,08-08,30.98,31.08,"(-4.921875, 0.0, 36.8420237038942, 41.0525367766618)","(-1.40625, 39.2981564572253)(-2.4609375, 38.94728034960657)(-2.4609375, 38.94728034960657)(-2.4609375, 38.94728034960657)(-1.7578125, 39.2981564572253)"
0,2002,7,41,2002-08-11,2002-08-15,5,117792,13412695.17,694.88,08-13,30.65,30.32,"(7.03125, 11.953125, 35.4385190210863, 37.5437759887994)","(8.0859375, 36.140271368586205)(8.7890625, 36.491147523639505)(9.4921875, 36.491147523639505)(9.84375, 36.491147523639505)(10.546875, 36.140271368586205)"
0,2002,8,43,2002-08-13,2002-08-15,3,43119,3083528.68,242.37,08-15,26.97,26.85,"(13.359375, 14.765625, 37.5437759887994, 38.9472804370071)","(14.0625, 38.596404335390446)(14.0625, 38.2455282198601)(14.0625, 38.2455282198601)"
0,2002,9,57,2002-08-27,2002-08-30,4,193090,11842607.11,751.28,08-29,19.85,19.38,"(-4.21875, 0.0, 37.5437759887994, 43.8595445166024)","(-2.109375, 41.75428868785746)(-2.109375, 40.701660547458246)(-2.4609375, 40.701660547458246)(-1.40625, 40.35078455088668)"
0,2002,10,57,2002-08-27,2002-08-29,3,36128,1096437.18,127.78,08-29,12.12,12.16,"(-9.84375, -7.734375, 52.982311777713, 54.3858129450494)","(-9.140625, 53.68406238250086)(-9.140625, 53.68406238250086)(-8.7890625, 53.68406238250086)"
0,2002,11,58,2002-08-28,2002-08-30,3,65665,3388721.04,287.68,08-30,19.31,19.36,"(0.0, 2.109375, 43.1577926653356, 45.263048035017)","(1.0546875, 44.21042038111197)(1.0546875, 44.21042038111197)(1.0546875, 44.21042038111197)"
0,2002,12,59,2002-08-29,2002-08-31,3,233644,10340025.58,1049.45,08-31,15.99,16.17,"(2.109375, 13.359375, 44.5612963074929, 48.7718056035057)","(7.03125, 46.66655121348678)(7.734375, 46.31567539582113)(8.4375, 46.66655113977607)"
0,2003,-1 (NOISE), , , , , , , , , , , , 
0,2003,0,6,2003-07-07,2003-07-11,5,87795,9459267.43,527.65,07-10,27.28,27.28,"(-3.515625, -0.703125, 39.649032596592, 41.7542887927827)","(-2.109375, 40.35078469459051)(-2.109375, 40.70166071913855)(-2.109375, 40.70166071913855)(-2.109375, 40.70166071913855)(-1.7578125, 40.70166071913855)"
0,2003,1,7,2003-07-08,2003-07-12,5,399098,25068944.49,2001.52,07-11,20.59,20.55,"(5.625, 14.765625, 41.7542887927827, 49.4735568764181)","(11.953125, 45.61392386550715)(10.1953125, 45.02913050995057)(10.1953125, 45.61392346550678)(10.546875, 45.61392346550678)(13.0078125, 43.85954439567685)"
0,2003,2,25,2003-07-26,2003-08-01,7,652178,53403949.6,3347.67,07-30,19.18,19.67,"(-9.140625, 14.765625, 48.0700542447729, 54.3858129450494)","(-4.5703125, 52.9823116580891)(0.703125, 52.63143623936477)(3.3216594827586206, 51.92968529643001)(2.8125, 51.57880977499397)(3.515625, 51.57880977499397)(6.328125, 51.22793422197187)(12.65625, 51.22793422197187)"
0,2003,3,27,2003-07-28,2003-07-30,3,73761,3408703.47,376.67,07-30,20.15,20.27,"(-5.625, -1.40625, 46.6665512870549, 48.7718056035057)","(-4.21875, 47.71917848498133)(-3.8671875, 47.71917848498133)(-3.515625, 47.71917848498133)"
