Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,20,2000-07-21,2000-07-25,5,307352,29101731.9,2088.33,07-22,31.72,31.7,"(-7.734375, 0.703125, 37.5437759887994, 42.45604075651)","(-5.2734375, 39.99990863019465)(-3.515625, 39.99990853658056)(-3.1640625, 39.99990853658056)(-2.8125, 39.99990853658056)(-4.5703125, 39.64903258137227)"
0,2000,1,32,2000-08-02,2000-08-01,3,78662,4785246.17,459.88,08-03,24.65,24.6,"(-4.21875, -0.703125, 45.9647996959973, 48.7718056035057)","(-2.4609375, 47.01742700810422)(-2.4609375, 47.36830272718452)(-2.4609375, 47.36830277880653)"
0,2000,2,32,2000-08-02,2000-08-04,3,34701,2133808.37,202.65,08-04,22.16,22.17,"(-0.703125, 2.109375, 50.1753080588334, 51.5788101317764)","(0.3515625, 50.87705911211763)(1.0546875, 50.87705911211763)(1.0546875, 50.87705911211763)"
0,2000,3,34,2000-08-04,2000-08-08,5,99624,10300936.93,695.64,08-07,32.91,32.84,"(-8.4375, -5.625, 37.5437759887994, 40.3507847105177)","(-7.03125, 38.2455282198601)(-7.3828125, 38.2455282198601)(-7.03125, 38.947280393338005)(-7.03125, 38.947280393338005)(-6.6796875, 39.29815649447265)"
0,2000,4,40,2000-08-10,2000-08-09,4,40958,3973851.25,249.36,08-08,27.27,27.31,"(-8.4375, -7.03125, 41.0525367766618, 42.45604075651)","(-7.734375, 41.754288775318166)(-7.734375, 41.754288775318166)(-7.734375, 41.754288775318166)(-7.734375, 41.754288775318166)"
0,2000,5,48,2000-08-18,2000-08-17,3,288064,16369548.84,1741.37,08-17,24.39,24.44,"(2.109375, 11.25, 45.263048035017, 49.4735568764181)","(7.734375, 47.36830264962253)(6.6796875, 47.71917841872345)(6.6796875, 47.36830264962253)"
0,2000,6,57,2000-08-27,2000-08-29,3,202166,17378716.55,1319.85,08-28,30.6,30.6,"(-8.4375, -3.515625, 37.5437759887994, 42.45604075651)","(-5.9765625, 39.649032505162076)(-5.9765625, 39.99990853658056)(-5.625, 39.99990853658056)"
0,2000,7,59,2000-08-29,2000-08-31,3,208329,16339304.16,1338.5,08-30,30.23,30.25,"(-4.21875, 0.0, 36.8420237038942, 41.0525367766618)","(-2.109375, 38.94728034960657)(-2.109375, 38.94728034960657)(-2.109375, 38.596404278430704)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
