Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,9,2000-07-10,2000-07-12,3,55340,3719501.09,356.84,07-12,24.88,25.06,"(9.84375, 14.0625, 45.263048035017, 46.6665512870549)","(11.953125, 46.3156754915261)(11.953125, 45.96479967268973)(11.953125, 45.96479967268973)"
0,2000,1,17,2000-07-18,2000-07-27,10,1455423,193544126.95,9476.96,07-23,24.51,24.91,"(-9.84375, 14.765625, 42.45604075651, 54.3858129450494)","(-2.109375, 52.9823116580891)(0.21634615384615385, 48.77180456069475)(2.109375, 48.77180456069475)(2.9159007352941178, 48.42092879379559)(2.8125, 48.42092879379559)(2.4609375, 48.42092879379559)(3.1640625, 48.42092879379559)(10.8984375, 48.77180479476171)(12.65625, 45.2630479684329)(13.0078125, 46.3156754915261)"
0,2000,2,32,2000-08-02,2000-08-01,5,71159,6240423.94,396.48,08-01,25.66,25.8,"(-9.84375, -8.4375, 37.5437759887994, 40.3507847105177)","(-9.140625, 39.64903258137227)(-9.140625, 38.94728042245763)(-9.140625, 38.59640431404308)(-9.140625, 38.947280393338005)(-9.140625, 38.947280393338005)"
0,2000,3,48,2000-08-18,2000-08-20,3,46967,2098244.37,248.27,08-19,18.64,18.73,"(-4.921875, -1.40625, 52.982311777713, 54.3858129450494)","(-3.1640625, 53.68406238250086)(-3.515625, 53.68406238250086)(-2.8125, 53.68406238250086)"
0,2000,4,51,2000-08-21,2000-08-23,3,91754,5266809.62,571.42,08-21,22.06,22.13,"(7.734375, 13.359375, 51.5788101317764, 54.3858129450494)","(10.1953125, 52.9823116580891)(10.8984375, 52.9823116580891)(10.1953125, 53.33318703966727)"
0,2000,5,57,2000-08-27,2000-08-31,5,1056148,101509398.91,6481.66,08-29,27.13,27.15,"(-9.140625, 9.84375, 35.4385190210863, 49.4735568764181)","(2.109375, 43.50866844329996)(0.3515625, 42.456039735009135)(0.3515625, 42.456039735009135)(-1.0546875, 41.75428799764568)(-1.40625, 42.10516405189898)"
0,2000,6,58,2000-08-28,2000-08-31,4,61657,3554008.27,308.77,08-29,18.11,18.16,"(-9.84375, -7.03125, 52.2805610111665, 54.3858129450494)","(-8.0859375, 53.33318703966727)(-8.4375, 53.33318703966727)(-8.4375, 53.33318703966727)(-8.7890625, 53.68406238250086)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,19,2001-07-20,2001-07-24,5,289055,26480608.91,1675.79,07-22,27.42,27.33,"(-8.4375, -0.703125, 35.4385190210863, 40.3507847105177)","(-5.2734375, 37.894652009056074)(-4.5703125, 37.894652009056074)(-4.5703125, 37.894652009056074)(-4.5703125, 37.894652009056074)(-4.21875, 36.140271368586205)"
0,2001,1,32,2001-08-02,2001-08-01,5,834474,34543833.48,3190.93,08-01,15.56,15.24,"(-4.921875, 14.765625, 44.5612963074929, 53.6840624247402)","(4.921875, 49.82443209415758)(9.743303571428571, 49.12268119588252)(0.140625, 47.368302545964895)(4.921875, 49.12268052891595)(4.921875, 49.12268052891595)"
0,2001,2,36,2001-08-06,2001-08-13,8,360084,46996891.53,1962.98,08-09,26.35,26.01,"(-9.84375, 2.8125, 35.4385190210863, 44.5612963074929)","(-7.3828125, 36.491147523639505)(-7.3828125, 37.54377590884727)(-7.3828125, 37.54377590884727)(-3.8671875, 39.91893685470555)(-3.8671875, 39.999908277702424)(-2.109375, 39.999908277702424)(-1.40625, 40.701660547458246)(-0.703125, 40.701660547458246)"
0,2001,3,40,2001-08-10,2001-08-23,14,1342249,221689797.43,7399.07,08-21,21.2,21.6,"(-6.328125, 14.765625, 35.4385190210863, 53.6840624247402)","(8.0859375, 46.566300176511845)(8.4375, 45.613923142364825)(8.7890625, 45.96479884762433)(8.4375, 44.21042004944476)(8.4375, 44.912171648090066)(9.140625, 46.003784674660615)(8.7890625, 46.66654991522978)(9.84375, 46.31567402985603)(9.84375, 42.806916381464276)(4.453125, 43.1577913756421)(4.21875, 42.80691556791024)(4.21875, 43.1577913756421)(4.5703125, 42.96640449250802)(6.365131578947368, 41.052536424691276)"
0,2001,4,46,2001-08-16,2001-08-23,8,133282,24439705.7,822.03,08-18,29.82,29.7,"(0.0, 8.4375, 35.4385190210863, 36.8420237038942)","(5.9765625, 36.140271368586205)(5.2734375, 36.140271368586205)(4.5703125, 36.140271368586205)(2.8125, 36.140271368586205)(2.8125, 36.140271368586205)(2.109375, 36.140271368586205)(2.109375, 36.140271368586205)(2.109375, 36.140271368586205)"
0,2001,5,47,2001-08-17,2001-08-24,8,145905,20282607.46,789.13,08-18,26.4,26.34,"(11.25, 14.765625, 35.4385190210863, 38.9472804370071)","(13.0078125, 37.894652090868625)(13.0078125, 37.19289979422315)(13.0078125, 37.19289979422315)(13.359375, 36.84202366566636)(13.359375, 37.19289982681138)(13.359375, 36.84202366566636)(13.359375, 36.84202366566636)(13.359375, 36.491147523639505)"
0,2001,6,58,2001-08-28,2001-08-31,4,86176,4320237.67,396.89,08-29,17.17,17.25,"(10.546875, 14.765625, 48.7718056035057, 51.5788101317764)","(12.3046875, 50.52618355319275)(12.65625, 50.17530796325534)(12.65625, 49.824432421125074)(13.0078125, 50.1753080269982)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
0,2002,0,39,2002-08-09,2002-08-15,7,484121,58415108.13,2637.51,08-12,26.09,25.93,"(-9.84375, 0.703125, 36.8420237038942, 44.5612963074929)","(-8.4375, 39.649032505162076)(-7.03125, 39.99990846618743)(-5.2734375, 39.99990846618743)(-4.21875, 40.70166045716413)(-4.21875, 40.70166045716413)(-4.21875, 40.70166045716413)(-4.21875, 39.649032444059856)"
0,2002,1,51,2002-08-21,2002-08-23,3,84551,4739775.46,377.06,08-21,19.72,19.71,"(-4.921875, -0.703125, 42.45604075651, 43.8595445166024)","(-2.8125, 43.157792646149325)(-2.8125, 43.157792646149325)(-2.8125, 43.157792646149325)"
0,2002,2,52,2002-08-22,2002-08-24,3,144049,6337470.89,726.36,08-23,20.5,20.54,"(-2.109375, 3.515625, 45.9647996959973, 48.7718056035057)","(-0.3515625, 47.36830272718452)(0.703125, 47.36830272718452)(1.7578125, 47.71917848498133)"
0,2002,3,53,2002-08-23,2002-08-25,3,344931,15818097.06,1725.32,08-24,18.8,18.87,"(4.21875, 14.0625, 49.4735568764181, 54.3858129450494)","(8.7890625, 51.92968529643001)(9.140625, 51.92968529643001)(10.1953125, 52.63143623936477)"
0,2003,-1 (NOISE), , , , , , , , , , , , 
0,2003,0,0,2003-07-01,2003-07-07,7,140792,9716626.35,519.74,07-03,18.49,17.54,"(9.84375, 14.765625, 45.263048035017, 48.7718056035057)","(14.4140625, 47.71917852468235)(12.65625, 47.01742694515659)(12.3046875, 47.01742694515659)(12.65625, 47.01742694515659)(13.7109375, 46.31567545566524)(13.0078125, 46.66655121348678)(13.7109375, 46.31567545566524)"
