Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,8,2000-07-09,2000-07-11,3,66747,5015529.16,434.1,07-10,30.98,30.95,"(-9.140625, -7.03125, 37.5437759887994, 39.649032596592)","(-8.0859375, 38.94728042245763)(-8.0859375, 38.59640431404308)(-8.0859375, 38.2455282198601)"
0,2000,1,20,2000-07-21,2000-07-24,4,57766,4544352.96,314.5,07-23,25.32,25.49,"(-9.84375, -8.4375, 36.8420237038942, 38.9472804370071)","(-9.140625, 37.54377597548913)(-9.4921875, 37.894652090868625)(-9.140625, 37.894652090868625)(-9.140625, 37.894652090868625)"
0,2000,2,26,2000-07-27,2000-07-31,5,63447,5580138.71,397.78,07-31,22.11,22.34,"(-2.109375, 2.109375, 51.5788101317764, 52.982311777713)","(0.0, 52.280560973551964)(0.0, 52.280560973551964)(0.3515625, 52.280560973551964)(-0.3515625, 52.280560973551964)(0.0, 52.280560973551964)"
0,2000,3,32,2000-08-02,2000-08-01,7,836821,87064477.44,5257.25,07-31,25.49,24.85,"(0.703125, 14.765625, 44.5612963074929, 53.6840624247402)","(9.4921875, 49.12268052891595)(13.359375, 45.26304801283573)(5.2734375, 49.263030882431146)(8.7890625, 49.122680722715835)(7.734375, 48.42092943353084)(7.734375, 49.12268052891595)(8.7890625, 49.12268052891595)"
0,2000,4,40,2000-08-10,2000-08-09,3,234107,14854805.66,1425.77,08-10,23.61,23.61,"(5.625, 14.765625, 48.7718056035057, 51.5788101317764)","(10.546875, 50.17530796325534)(10.1953125, 50.17530796325534)(10.8984375, 50.17530796325534)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,32,2001-08-02,2001-08-01,4,296256,26398350.2,1517.89,08-02,24.79,24.7,"(-9.84375, -2.8125, 36.8420237038942, 43.1577926653356)","(-6.328125, 39.649032444059856)(-6.6796875, 39.99990853658056)(-6.328125, 39.99990846618743)(-6.328125, 39.99990846618743)"
0,2001,1,48,2001-08-18,2001-08-17,4,109172,4327463.79,467.37,08-17,15.96,15.72,"(-5.625, 0.703125, 50.8770591457431, 52.982311777713)","(-2.4609375, 51.92968551659975)(-3.1640625, 51.578810096228665)(-2.4609375, 51.578810096228665)(-2.8125, 51.92968551659975)"
0,2001,2,48,2001-08-18,2001-08-17,3,66762,2279037.96,258.96,08-17,14.84,14.25,"(-9.84375, -6.328125, 51.5788101317764, 53.6840624247402)","(-8.0859375, 52.631436336349026)(-8.0859375, 51.92968557147145)(-8.0859375, 52.631436336349026)"
0,2001,3,48,2001-08-18,2001-08-21,4,166443,6498387.82,752.1,08-19,16.62,17.05,"(7.734375, 14.765625, 50.8770591457431, 54.3858129450494)","(10.546875, 52.9823116580891)(11.25, 52.63143623936477)(12.3046875, 52.63143623936477)(14.0625, 52.280560973551964)"
0,2001,4,52,2001-08-22,2001-08-24,3,40507,2222505.92,198.72,08-23,21.32,21.5,"(2.8125, 4.21875, 41.7542887927827, 43.1577926653356)","(3.515625, 42.8069167109228)(3.515625, 42.45604073820943)(3.515625, 42.45604073820943)"
0,2001,5,54,2001-08-24,2001-08-28,5,295091,14044455.98,1253.06,08-27,15.26,15.49,"(-9.84375, 2.109375, 50.1753080588334, 54.3858129450494)","(-7.734375, 52.631436336349026)(-4.21875, 52.280560785003146)(-4.21875, 52.280560785003146)(-3.8671875, 52.280560785003146)(0.3515625, 53.33318703966727)"
0,2001,6,56,2001-08-26,2001-08-25,3,94967,3694788.37,298.43,08-25,15.86,15.42,"(-3.515625, 0.0, 41.0525367766618, 43.1577926653356)","(-1.7578125, 42.10516474782253)(-1.7578125, 42.10516474782253)(-1.7578125, 42.10516474782253)"
0,2001,7,56,2001-08-26,2001-08-28,3,71438,1990700.74,223.85,08-27,12.54,12.79,"(4.21875, 7.734375, 45.263048035017, 47.3683028045918)","(6.6796875, 45.96479967268973)(5.9765625, 46.31567545566524)(5.9765625, 46.31567545566524)"
