Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,3,2000-07-04,2000-07-16,13,363133,68861279.58,2403.55,07-09,30.56,31.6,"(0.703125, 14.765625, 35.4385190210863, 38.2455282337738)","(12.65625, 36.140271368586205)(12.65625, 36.491147523639505)(8.0859375, 36.84202366566636)(7.734375, 36.84202366566636)(7.734375, 36.84202366566636)(7.734375, 36.84202366566636)(9.84375, 36.84202366566636)(12.65625, 36.84202366566636)(12.65625, 36.84202366566636)(12.65625, 36.491147523639505)(12.3046875, 36.491147523639505)(12.3046875, 36.491147523639505)(12.3046875, 36.491147523639505)"
0,2000,1,5,2000-07-06,2000-07-12,7,318894,42574241.45,2124.59,07-08,29.57,29.75,"(7.734375, 14.765625, 38.9472804370071, 45.9647996959973)","(11.25, 42.1441507557485)(11.25, 42.45604048095604)(11.25, 42.45604048095604)(11.25, 42.10516455945192)(11.25, 41.754288617722466)(9.4921875, 41.40341265650116)(8.7890625, 39.99990863019465)"
0,2000,2,24,2000-07-25,2000-07-30,6,139652,17837722.94,989.37,07-27,31.68,31.8,"(9.140625, 14.765625, 40.3507847105177, 44.5612963074929)","(12.65625, 42.45604064655759)(12.3046875, 42.45604064655759)(11.953125, 42.45604064655759)(10.8984375, 42.80691663589757)(10.8984375, 42.80691663589757)(12.65625, 41.754288775318166)"
0,2000,3,32,2000-08-02,2000-08-01,8,194989,32328943.0,1258.02,07-30,30.96,31.11,"(9.140625, 14.765625, 35.4385190210863, 38.9472804370071)","(12.3046875, 35.789395200932205)(13.7109375, 37.19289982681138)(13.0078125, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 36.84202366566636)(12.65625, 36.140271368586205)"
0,2000,4,25,2000-07-26,2000-07-28,3,32640,2594391.99,216.15,07-27,30.91,30.89,"(7.734375, 9.140625, 39.649032596592, 41.0525367766618)","(8.4375, 39.999908653554854)(8.4375, 40.35078469459051)(8.4375, 40.35078469459051)"
0,2000,5,25,2000-07-26,2000-07-28,3,36457,3206970.81,245.97,07-27,30.66,30.65,"(8.4375, 9.84375, 41.0525367766618, 42.45604075651)","(9.140625, 41.754288775318166)(9.140625, 41.754288775318166)(9.140625, 41.754288775318166)"
0,2000,6,27,2000-07-28,2000-07-30,3,41403,3372273.09,286.94,07-30,31.81,31.81,"(13.359375, 14.765625, 40.3507847105177, 41.7542887927827)","(14.0625, 41.052536759987404)(14.0625, 41.052536759987404)(14.0625, 41.052536759987404)"
0,2000,7,32,2000-08-02,2000-08-01,6,62250,6584784.98,332.0,07-31,23.13,23.17,"(-8.4375, -5.625, 42.45604075651, 43.8595445166024)","(-7.03125, 43.157792646149325)(-7.3828125, 43.157792646149325)(-7.03125, 43.157792646149325)(-7.3828125, 43.157792646149325)(-7.03125, 43.157792646149325)(-7.03125, 43.157792646149325)"
0,2000,8,57,2000-08-27,2000-08-30,4,136236,12625319.19,897.34,08-29,31.68,31.76,"(-7.03125, -2.8125, 35.4385190210863, 38.9472804370071)","(-4.21875, 38.2455282198601)(-4.921875, 37.19289979422315)(-4.921875, 37.19289979422315)(-5.2734375, 36.84202366566636)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,4,2001-07-05,2001-07-12,8,363133,63171219.95,2428.37,07-09,31.66,32.02,"(0.703125, 14.765625, 35.4385190210863, 38.9472804370071)","(7.734375, 36.491147523639505)(7.734375, 36.491147523639505)(7.734375, 36.84202366566636)(7.734375, 36.491147523639505)(7.734375, 36.84202366566636)(9.4921875, 37.19289979422315)(10.8984375, 37.19289979422315)(13.7109375, 36.140271368586205)"
0,2001,1,8,2001-07-09,2001-07-08,4,93768,3995686.92,439.41,07-07,20.34,19.93,"(4.21875, 8.4375, 44.5612963074929, 46.6665512870549)","(6.328125, 44.5612963074929)(5.9765625, 45.9647996959973)(6.328125, 45.61392383139052)(6.328125, 45.61392383139052)"
0,2001,2,6,2001-07-07,2001-07-11,5,143345,13567536.75,939.78,07-10,30.09,29.89,"(11.25, 14.765625, 40.3507847105177, 44.5612963074929)","(14.0625, 41.754288775318166)(13.0078125, 42.10516470306837)(13.0078125, 42.45604064655759)(13.0078125, 42.45604064655759)(13.7109375, 42.45604064655759)"
0,2001,3,8,2001-07-09,2001-07-08,3,70566,3007671.02,295.88,07-08,18.2,18.09,"(9.84375, 14.0625, 45.9647996959973, 48.0700542447729)","(12.3046875, 46.666551262548005)(11.6015625, 47.36830277880653)(11.953125, 47.01742700810422)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
0,2002,0,4,2002-07-05,2002-07-09,5,108151,8422832.15,512.65,07-07,23.2,22.62,"(-9.140625, -7.03125, 37.5437759887994, 41.7542887927827)","(-8.0859375, 39.64903255091048)(-8.0859375, 39.649032505162076)(-8.0859375, 39.649032505162076)(-8.0859375, 39.2981564572253)(-7.734375, 38.2455282198601)"
0,2002,1,5,2002-07-06,2002-07-10,5,172486,14096346.23,851.92,07-08,22.28,21.89,"(-3.515625, 2.109375, 41.0525367766618, 45.9647996959973)","(-2.109375, 41.754288775318166)(-1.40625, 43.157792550057486)(-0.703125, 43.50866844329996)(-1.0546875, 43.85954439567685)(-1.0546875, 43.50866851229011)"
0,2002,2,8,2002-07-09,2002-07-08,3,66751,3338300.4,279.36,07-07,18.31,18.33,"(-7.03125, -3.515625, 42.45604075651, 43.8595445166024)","(-5.2734375, 43.157792646149325)(-5.625, 43.157792646149325)(-5.625, 43.157792646149325)"
0,2002,3,10,2002-07-11,2002-07-14,4,105469,5734856.75,522.24,07-13,21.24,20.01,"(9.140625, 14.765625, 45.263048035017, 47.3683028045918)","(12.3046875, 46.3156754915261)(11.953125, 46.31567545566524)(11.953125, 46.31567545566524)(12.65625, 45.61392386550715)"
0,2002,4,32,2002-08-02,2002-08-01,6,385662,50181088.24,2321.33,07-30,28.55,28.44,"(-9.140625, -2.8125, 35.4385190210863, 43.1577926653356)","(-4.5703125, 39.29815633773168)(-6.328125, 39.649032505162076)(-5.9765625, 38.94728021803664)(-5.9765625, 39.298156255311554)(-5.625, 39.298156255311554)(-5.2734375, 39.298156255311554)"
0,2002,5,32,2002-08-02,2002-08-12,11,490342,45579539.84,2317.68,08-04,21.11,20.32,"(2.8125, 14.765625, 42.45604075651, 52.2805610111665)","(6.591796875, 45.96479967268973)(8.7890625, 48.070053670690186)(8.7890625, 47.71917805898383)(10.8984375, 48.070053670690186)(11.953125, 45.96479967268973)(11.953125, 45.61392383139052)(12.3046875, 45.61392383139052)(12.65625, 44.561296180572874)(12.65625, 44.91217200857524)(12.3046875, 44.91217200857524)(12.3046875, 44.561296180572874)"
0,2003,-1 (NOISE), , , , , , , , , , , , 
0,2003,0,1,2003-07-02,2003-07-05,4,510576,29607722.39,2486.78,07-04,20.98,20.75,"(-3.515625, 9.84375, 43.8595445166024, 49.4735568764181)","(2.109375, 44.9121721387774)(3.8671875, 46.666551041272555)(3.1640625, 46.666551041272555)(3.515625, 46.666551041272555)"
0,2003,1,8,2003-07-09,2003-07-08,4,123719,9146476.36,688.61,07-08,26.09,26.3,"(-8.4375, -4.921875, 36.8420237038942, 40.3507847105177)","(-6.328125, 38.947280393338005)(-7.3828125, 38.2455281920133)(-7.03125, 38.596404278430704)(-6.6796875, 38.596404278430704)"
0,2003,2,19,2003-07-20,2003-07-22,3,39741,1893785.34,249.67,07-20,20.42,20.99,"(11.953125, 14.765625, 52.982311777713, 54.3858129450494)","(13.359375, 53.68406238250086)(13.359375, 53.68406238250086)(14.0625, 54.0349376848948)"
0,2003,3,32,2003-08-02,2003-08-01,7,740526,51626758.01,3939.78,07-31,20.36,20.62,"(-4.921875, 14.765625, 41.7542887927827, 50.8770591457431)","(7.734375, 46.66655091778382)(5.9765625, 45.96479946226339)(8.0859375, 46.31567531187936)(-2.4609375, 43.50866851229011)(2.6207386363636362, 45.73088198795053)(4.921875, 46.315674913618416)(7.3828125, 47.368302416002685)"
0,2003,4,32,2003-08-02,2003-08-01,3,40507,2891082.21,250.37,08-02,28.03,27.95,"(10.546875, 11.953125, 41.7542887927827, 43.1577926653356)","(11.25, 42.45604073820943)(11.25, 42.45604073820943)(11.25, 42.45604073820943)"
0,2003,5,32,2003-08-02,2003-08-05,4,62250,4832502.07,384.79,08-04,27.15,27.21,"(7.734375, 10.546875, 42.45604075651, 43.8595445166024)","(9.140625, 43.157792636556195)(9.140625, 43.157792646149325)(9.140625, 43.157792646149325)(9.140625, 43.508668590968995)"
0,2003,6,45,2003-08-15,2003-08-17,3,84749,3694334.07,318.79,08-16,17.25,17.25,"(-2.8125, 0.0, 41.7542887927827, 44.5612963074929)","(-1.40625, 43.157792607744724)(-1.40625, 43.157792607744724)(-1.40625, 42.806916682807675)"
0,2003,7,46,2003-08-16,2003-08-29,14,1334078,201429171.26,5996.27,08-25,18.87,19.23,"(-5.625, 14.765625, 39.649032596592, 50.8770591457431)","(0.703125, 45.964799626030775)(6.328125, 47.71917820594272)(7.03125, 47.71917820594272)(6.6796875, 47.01742674302864)(3.8671875, 44.5612960957094)(3.515625, 44.561295711323524)(4.5703125, 44.561295711323524)(4.5703125, 44.91217148304288)(4.5703125, 44.91217148304288)(4.5703125, 44.91217148304288)(5.2734375, 44.21041991381677)(5.625, 44.21042004944476)(7.3828125, 43.50866835439724)(10.8984375, 44.2104202570991)"
0,2003,8,54,2003-08-24,2003-08-29,6,121542,13978042.59,662.21,08-28,26.61,26.6,"(11.953125, 14.765625, 35.4385190210863, 38.9472804370071)","(13.7109375, 36.84202369115724)(13.359375, 36.84202366566636)(13.359375, 37.19289979422315)(13.359375, 37.19289979422315)(13.359375, 37.19289979422315)(13.0078125, 37.19289979422315)"
0,2004,-1 (NOISE), , , , , , , , , , , , 
0,2004,0,2,2004-07-03,2004-07-23,21,1586884,262139396.69,7450.78,07-11,18.87,19.11,"(-9.84375, 14.765625, 36.8420237038942, 54.3858129450494)","(-8.4375, 40.70166062114758)(-7.734375, 40.70166062114758)(-5.1923076923076925, 43.408416194876665)(-4.21875, 45.29646246797633)(-3.8671875, 45.67240104940998)(-3.1640625, 46.05633049921501)(1.40625, 46.66654963486444)(2.4609375, 47.36830136039442)(2.4609375, 47.0174255074943)(1.7578125, 46.66654963486444)(0.703125, 46.66654963486444)(2.4609375, 46.66654963486444)(3.9375, 50.43048949982762)(-4.871651785714286, 52.16360228621817)(-4.21875, 50.877058638573686)(-4.21875, 50.877058638573686)(-4.21875, 50.877058638573686)(-5.625, 50.52618302594712)(-4.21875, 50.175307385181746)(-3.1640625, 50.175307385181746)(-2.4609375, 50.05834882296552)"
0,2004,1,2,2004-07-03,2004-07-05,3,74168,2670105.32,304.83,07-03,15.65,15.63,"(-9.84375, -5.625, 51.5788101317764, 53.6840624247402)","(-7.734375, 52.631436336349026)(-7.734375, 52.631436336349026)(-7.03125, 52.280560973551964)"
0,2004,2,15,2004-07-16,2004-07-20,5,239600,23407189.66,1419.95,07-18,28.71,28.79,"(-9.84375, -3.515625, 35.4385190210863, 40.3507847105177)","(-5.2734375, 37.543775948850524)(-6.328125, 37.894652009056074)(-6.6796875, 37.894652009056074)(-6.6796875, 37.894652009056074)(-7.03125, 36.84202369115724)"
0,2004,3,16,2004-07-17,2004-07-19,3,49002,2379455.67,238.34,07-17,20.5,20.56,"(-9.140625, -7.03125, 42.45604075651, 43.8595445166024)","(-8.0859375, 43.157792646149325)(-8.0859375, 43.157792646149325)(-7.734375, 43.157792646149325)"
