Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,0,2000-07-01,2000-07-06,6,332692,31188462.16,1916.05,07-05,20.2,20.3,"(-9.84375, 1.40625, 50.1753080588334, 54.3858129450494)","(-4.5703125, 52.9823116580891)(-4.921875, 52.280560785003146)(-4.5703125, 52.63143623936477)(-4.5703125, 52.280560785003146)(-4.21875, 52.280560785003146)(-3.1640625, 52.280560785003146)"
0,2000,1,3,2000-07-04,2000-07-06,3,65167,3611944.46,356.59,07-05,22.14,22.17,"(-5.625, -1.40625, 47.3683028045918, 48.7718056035057)","(-3.8671875, 48.070054217623465)(-3.515625, 48.070054217623465)(-3.515625, 48.070054217623465)"
0,2000,2,16,2000-07-17,2000-07-16,3,67590,3110139.44,400.4,07-16,21.7,21.79,"(-2.109375, 1.40625, 50.8770591457431, 52.982311777713)","(0.3515625, 51.92968551659975)(-0.703125, 52.280560973551964)(-0.3515625, 51.92968551659975)"
0,2000,3,16,2000-07-17,2000-07-16,4,101939,6572118.95,642.06,07-18,23.44,23.56,"(9.84375, 14.765625, 50.1753080588334, 52.982311777713)","(12.3046875, 51.92968551659975)(12.65625, 51.57881002504648)(13.0078125, 51.22793458687985)(11.953125, 52.631436394439746)"
0,2000,4,17,2000-07-18,2000-07-24,7,336902,52313447.38,2079.36,07-23,27.54,27.54,"(-8.4375, 2.109375, 38.9472804370071, 48.0700542447729)","(-6.328125, 41.75428874036156)(-4.921875, 41.40341265650116)(-4.21875, 42.10516455945192)(-4.21875, 42.711222877377175)(-4.21875, 44.21042004944476)(-2.4609375, 44.56129598934721)(-1.0546875, 44.56129598934721)"
0,2000,5,18,2000-07-19,2000-07-21,3,38164,2775285.68,237.43,07-20,26.18,26.18,"(-2.8125, 0.0, 45.263048035017, 46.6665512870549)","(-1.7578125, 45.96479967268973)(-1.40625, 45.96479967268973)(-1.7578125, 45.96479967268973)"
0,2000,6,24,2000-07-25,2000-07-28,4,68881,7206095.19,481.12,07-27,32.96,33.26,"(-6.328125, -3.515625, 35.4385190210863, 37.5437759887994)","(-4.5703125, 36.140271368586205)(-4.921875, 36.491147523639505)(-4.921875, 36.491147523639505)(-4.5703125, 36.140271368586205)"
0,2000,7,24,2000-07-25,2000-07-27,3,58043,5030535.06,425.93,07-26,34.49,34.63,"(-4.21875, -2.109375, 36.8420237038942, 38.2455282337738)","(-3.1640625, 37.54377597548913)(-3.1640625, 37.54377597548913)(-3.1640625, 37.54377597548913)"
0,2000,8,28,2000-07-29,2000-08-01,4,200911,10294348.27,1079.23,07-31,19.41,19.49,"(-9.140625, 0.703125, 51.5788101317764, 54.3858129450494)","(-5.122767857142857, 53.68406238250086)(-4.921875, 52.9823116580891)(-4.5703125, 52.9823116580891)(-2.4609375, 52.9823116580891)"
