Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,0,2,2000-07-03,2000-07-06,4,84948,4719031.32,496.74,07-05,21.68,21.68,"(3.515625, 9.140625, 51.5788101317764, 53.6840624247402)","(7.734375, 53.3331871012266)(7.03125, 52.631436336349026)(5.9765625, 52.631436336349026)(5.2734375, 52.631436336349026)"
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,1,3,2000-07-04,2000-07-08,5,177529,12904458.69,1058.57,07-06,23.67,24.2,"(-5.625, 1.40625, 45.263048035017, 48.7718056035057)","(-3.1640625, 47.01742700810422)(-2.109375, 47.01742694515659)(-2.109375, 47.01742694515659)(-2.8125, 47.01742694515659)(-3.515625, 47.017427045823354)"
0,2000,2,3,2000-07-04,2000-07-10,7,315106,27784164.12,1818.13,07-06,20.11,20.5,"(-9.84375, 0.703125, 50.1753080588334, 54.3858129450494)","(-7.332589285714286, 52.63143623936477)(-4.5703125, 52.280560785003146)(-4.5703125, 52.280560785003146)(-4.921875, 52.280560785003146)(-6.328125, 52.280560785003146)(-6.6796875, 52.9823116580891)(-8.7890625, 52.9823116580891)"
0,2000,3,19,2000-07-20,2000-07-27,8,254628,24553993.1,1391.49,07-25,19.47,19.59,"(-9.84375, -0.703125, 50.1753080588334, 54.3858129450494)","(-7.03125, 52.9823116580891)(-6.328125, 52.9823116580891)(-6.6796875, 52.9823116580891)(-5.2734375, 52.9823116580891)(-5.2734375, 52.9823116580891)(-5.625, 52.280560785003146)(-5.9765625, 52.280560785003146)(-4.921875, 52.280560785003146)"
0,2000,4,24,2000-07-25,2000-07-27,3,60754,3654407.04,323.34,07-25,21.47,21.48,"(-5.625, -2.109375, 47.3683028045918, 49.4735568764181)","(-3.8671875, 48.42092988232212)(-3.8671875, 48.42092988232212)(-4.21875, 48.42092988232212)"
0,2000,5,33,2000-08-03,2000-08-07,5,255283,14636073.98,1394.96,08-06,19.62,19.99,"(-9.84375, -1.40625, 50.1753080588334, 54.3858129450494)","(-7.734375, 53.216228500522)(-6.328125, 52.63143623936477)(-5.625, 52.280560785003146)(-5.625, 52.280560785003146)(-7.3828125, 52.631436336349026)"
0,2000,6,39,2000-08-09,2000-08-17,9,249626,35731746.26,1518.45,08-11,27.18,28.1,"(-9.84375, -4.921875, 36.1402713807781, 43.1577926653356)","(-7.3828125, 38.245528150194616)(-7.3828125, 39.29815633773168)(-7.734375, 39.649032367513854)(-7.734375, 39.649032367513854)(-8.0859375, 39.649032444059856)(-8.7890625, 38.596404278430704)(-8.7890625, 38.2455281920133)(-9.140625, 37.894652090868625)(-9.4921875, 37.54377597548913)"
0,2000,7,40,2000-08-10,2000-08-15,6,153529,12689403.0,806.75,08-12,19.78,19.78,"(-9.84375, -2.8125, 50.1753080588334, 53.6840624247402)","(-6.026785714285714, 51.22793458687985)(-6.328125, 51.57881002504648)(-6.6796875, 51.929685424995434)(-6.6796875, 51.929685424995434)(-6.6796875, 51.57881002504648)(-7.03125, 51.22793458687985)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,0,2001-07-01,2001-07-08,8,310014,29032951.54,1357.46,07-02,23.68,22.07,"(5.625, 14.765625, 41.0525367766618, 47.3683028045918)","(9.4921875, 44.2104202570991)(10.1953125, 44.5612960957094)(10.1953125, 43.85954431482829)(10.546875, 43.50866844329996)(10.546875, 43.50866844329996)(9.140625, 42.4560407015785)(9.140625, 42.806916682807675)(9.4921875, 43.157792646149325)"
0,2001,1,5,2001-07-06,2001-07-10,5,74282,7815501.15,416.16,07-10,26.14,26.22,"(7.734375, 9.84375, 38.9472804370071, 41.7542887927827)","(8.4375, 39.64903258137227)(8.4375, 39.99990863019465)(8.7890625, 40.35078466271226)(8.7890625, 40.35078466271226)(8.7890625, 40.35078466271226)"
