Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,1,2000-07-02,2000-07-07,6,67520,6619729.67,396.39,07-04,24.82,24.87,"(11.953125, 14.765625, 45.263048035017, 47.3683028045918)","(13.359375, 46.666551262548005)(13.359375, 46.31567545566524)(13.359375, 46.31567545566524)(13.7109375, 45.96479967268973)(13.7109375, 45.96479967268973)(13.7109375, 45.96479967268973)"
0,2000,1,16,2000-07-17,2000-07-20,4,121863,11323841.9,838.16,07-19,32.58,32.68,"(-8.4375, -4.921875, 35.4385190210863, 38.2455282337738)","(-5.625, 36.491147523639505)(-6.6796875, 36.84202366566636)(-6.6796875, 36.84202366566636)(-7.03125, 36.84202366566636)"
0,2000,2,17,2000-07-18,2000-07-27,10,803722,82243221.15,5039.4,07-23,22.14,22.98,"(-5.625, 14.765625, 45.9647996959973, 54.3858129450494)","(0.0, 51.57880991805582)(0.3515625, 51.92968529643001)(1.40625, 50.175307385181746)(1.40625, 50.175307385181746)(3.8671875, 50.175307385181746)(4.5703125, 50.175307385181746)(4.5703125, 50.52618302594712)(6.328125, 51.92968529643001)(6.328125, 52.9823116580891)(6.328125, 54.0349376848948)"
0,2000,3,39,2000-08-09,2000-08-16,8,377800,56640544.27,2320.74,08-14,28.74,28.55,"(-9.84375, -4.21875, 35.4385190210863, 43.8595445166024)","(-7.3828125, 39.64903255091048)(-7.734375, 41.05253660953145)(-7.03125, 40.701660547458246)(-7.03125, 40.350784470770606)(-7.03125, 40.350784470770606)(-7.03125, 39.649032275410846)(-7.03125, 39.649032275410846)(-7.03125, 39.649032275410846)"
0,2000,4,42,2000-08-12,2000-08-17,6,100084,10420867.32,609.8,08-13,23.93,24.18,"(-4.921875, 0.0, 45.263048035017, 48.7718056035057)","(-2.8125, 46.66655121348678)(-2.109375, 46.66655121348678)(-2.4609375, 46.66655121348678)(-3.515625, 47.01742700810422)(-3.515625, 47.71917848498133)(-2.8125, 47.71917848498133)"
0,2000,5,48,2000-08-18,2000-08-20,3,108836,6416425.92,632.18,08-20,24.41,24.39,"(3.515625, 8.4375, 45.263048035017, 48.0700542447729)","(5.2734375, 47.01742700810422)(5.625, 46.31567545566524)(5.9765625, 46.66655121348678)"
0,2000,6,52,2000-08-22,2000-08-25,4,128924,10956164.56,852.89,08-24,31.56,31.46,"(-4.921875, -1.40625, 36.8420237038942, 40.3507847105177)","(-4.21875, 38.596404335390446)(-3.515625, 38.947280393338005)(-3.1640625, 38.596404278430704)(-3.1640625, 38.596404278430704)"
0,2000,7,53,2000-08-23,2000-08-25,3,58850,5225468.25,378.34,08-24,31.31,31.34,"(-7.03125, -5.625, 35.4385190210863, 37.5437759887994)","(-6.328125, 36.491147523639505)(-6.328125, 36.491147523639505)(-6.328125, 36.491147523639505)"
0,2000,8,54,2000-08-24,2000-08-28,5,480837,32932458.31,2911.12,08-27,22.73,23.48,"(6.328125, 14.765625, 44.5612963074929, 53.6840624247402)","(10.546875, 47.017427045823354)(10.8984375, 49.12268052891595)(10.546875, 49.12268052891595)(11.25, 49.12268052891595)(13.0078125, 45.96479967268973)"
0,2001,0,0,2001-07-01,2001-07-04,4,1186282,62111373.59,5493.46,07-02,21.23,20.68,"(-6.328125, 9.84375, 35.4385190210863, 54.3858129450494)","(1.40625, 44.91216999750763)(1.7578125, 44.91216999750763)(1.497961956521739, 44.615274954193175)(-0.52734375, 39.13866711700699)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,1,0,2001-07-01,2001-07-08,8,191918,26573872.6,1107.47,07-02,25.94,26.09,"(7.734375, 11.25, 38.9472804370071, 43.8595445166024)","(9.4921875, 41.40341265650116)(9.4921875, 41.40341265650116)(9.4921875, 41.40341265650116)(9.140625, 41.40341265650116)(9.140625, 40.35078466271226)(9.140625, 39.99990863019465)(9.140625, 39.99990863019465)(9.140625, 39.99990863019465)"
0,2001,2,1,2001-07-02,2001-07-04,3,38695,3061763.74,213.19,07-04,26.37,26.37,"(11.25, 12.65625, 36.8420237038942, 38.2455282337738)","(11.953125, 37.54377597548913)(11.953125, 37.54377597548913)(11.953125, 37.54377597548913)"
0,2001,3,4,2001-07-05,2001-07-08,4,227078,13469758.82,1148.9,07-07,22.76,22.6,"(-6.328125, -0.703125, 36.8420237038942, 41.0525367766618)","(-4.21875, 38.94728034960657)(-3.8671875, 38.94728034960657)(-3.515625, 38.94728034960657)(-2.109375, 38.2455281920133)"
0,2001,4,5,2001-07-06,2001-07-08,3,49309,3337229.97,250.34,07-07,25.01,25.05,"(-5.625, -3.515625, 35.4385190210863, 36.8420237038942)","(-4.5703125, 36.140271368586205)(-4.5703125, 36.140271368586205)(-4.5703125, 36.140271368586205)"
0,2001,5,5,2001-07-06,2001-07-13,8,131671,21101293.32,734.52,07-12,27.1,26.97,"(9.84375, 14.765625, 35.4385190210863, 38.2455282337738)","(10.8984375, 36.84202369115724)(11.6015625, 36.491147523639505)(11.953125, 36.84202366566636)(12.65625, 36.84202366566636)(13.0078125, 36.84202366566636)(13.0078125, 36.84202366566636)(13.0078125, 36.84202366566636)(14.0625, 36.49114754233615)"
0,2001,6,15,2001-07-16,2001-07-20,5,149282,11706412.17,883.45,07-18,25.78,26.4,"(-4.21875, 0.0, 38.2455282337738, 41.7542887927827)","(-3.515625, 40.701660743589755)(-2.8125, 39.64903255091048)(-2.109375, 39.99990859122252)(-1.7578125, 39.99990859122252)(-1.0546875, 39.99990863019465)"
0,2001,7,18,2001-07-19,2001-07-21,3,39412,3184661.29,259.12,07-19,29.07,29.36,"(-4.921875, -3.515625, 35.4385190210863, 36.8420237038942)","(-4.21875, 36.140271368586205)(-4.21875, 36.140271368586205)(-4.21875, 36.140271368586205)"
0,2001,8,18,2001-07-19,2001-07-22,4,87306,4864442.46,413.7,07-20,17.95,17.87,"(-9.84375, -5.625, 52.2805610111665, 54.3858129450494)","(-8.4375, 53.33318703966727)(-7.734375, 53.33318703966727)(-8.0859375, 53.33318703966727)(-7.734375, 54.0349376848948)"
0,2001,9,26,2001-07-27,2001-07-29,3,39412,2799871.9,207.03,07-27,25.81,25.81,"(-4.921875, -3.515625, 35.4385190210863, 36.8420237038942)","(-4.21875, 36.140271368586205)(-4.21875, 36.140271368586205)(-4.21875, 36.140271368586205)"
0,2001,10,35,2001-08-05,2001-08-31,27,2090805,613429015.01,11320.42,08-27,20.52,20.64,"(-9.84375, 14.765625, 38.9472804370071, 54.3858129450494)","(-1.0546875, 49.77430711685349)(-0.12228260869565218, 49.824431717312834)(2.4609375, 49.473556023324846)(2.4609375, 49.824431717312834)(3.515625, 49.473556023324846)(5.625, 49.473556023324846)(6.6796875, 49.473556023324846)(10.1953125, 51.22793422197187)(10.8984375, 47.543740272754405)(8.7890625, 47.71917820594272)(8.7890625, 47.36830162698503)(9.84375, 47.36830162698503)(11.6015625, 47.01742578116166)(11.6015625, 46.66655016834174)(5.9765625, 45.9647983920044)(5.2734375, 46.66654963486444)(4.921875, 46.66654963486444)(4.921875, 46.66654963486444)(5.625, 46.66654963486444)(7.734375, 46.66654963486444)(5.9765625, 46.66654963486444)(4.5703125, 46.66654963486444)(4.5703125, 46.66654963486444)(5.625, 46.66654963486444)(6.328125, 46.66654963486444)(7.03125, 46.66654963486444)(7.03125, 45.46944410804937)"
0,2001,11,49,2001-08-19,2001-08-29,11,224015,43412222.05,1294.19,08-22,27.91,27.89,"(7.734375, 14.765625, 35.4385190210863, 38.9472804370071)","(13.359375, 37.19289979422315)(11.25, 37.19289979422315)(11.25, 37.19289979422315)(11.25, 37.19289979422315)(12.65625, 37.19289979422315)(12.65625, 37.19289979422315)(13.0078125, 37.19289979422315)(13.0078125, 36.491147523639505)(13.359375, 37.543775948850524)(13.359375, 37.543775948850524)(13.359375, 37.543775948850524)"
0,2001,12,56,2001-08-26,2001-08-31,6,246765,26425619.63,1429.21,08-28,29.11,28.22,"(-5.625, 1.40625, 36.8420237038942, 41.0525367766618)","(-3.515625, 39.64903258137227)(-2.8125, 38.94728034960657)(-2.109375, 38.94728034960657)(-2.109375, 38.94728034960657)(-2.109375, 38.596404278430704)(-4.921875, 37.192899846346805)"
0,2001,13,56,2001-08-26,2001-08-28,3,57805,1990338.97,244.12,08-26,14.92,14.91,"(-9.84375, -6.328125, 52.982311777713, 54.3858129450494)","(-8.0859375, 53.68406238250086)(-8.0859375, 53.68406238250086)(-7.03125, 54.0349376848948)"
0,2002,-1 (NOISE), , , , , , , , , , , , 
0,2002,0,11,2002-07-12,2002-07-15,4,80709,5218974.77,401.09,07-14,20.85,20.78,"(0.0, 2.8125, 41.7542887927827, 43.8595445166024)","(1.40625, 42.45604073820943)(1.40625, 42.806916682807675)(1.40625, 42.806916682807675)(1.7578125, 43.157792646149325)"
0,2002,1,12,2002-07-13,2002-07-15,3,54611,3126544.71,264.0,07-14,21.64,21.45,"(-2.8125, -0.703125, 41.0525367766618, 42.45604075651)","(-1.7578125, 41.754288775318166)(-1.7578125, 41.754288775318166)(-1.7578125, 41.754288775318166)"
0,2002,2,13,2002-07-14,2002-07-18,5,105731,7911008.07,543.78,07-15,20.84,20.87,"(2.109375, 7.03125, 44.5612963074929, 47.3683028045918)","(3.8671875, 45.61392383139052)(4.921875, 45.964799626030775)(5.2734375, 45.964799626030775)(4.921875, 45.26304801283573)(4.921875, 45.61392383139052)"
0,2002,3,16,2002-07-17,2002-07-16,4,192676,9247064.85,874.54,07-16,18.05,17.97,"(7.734375, 14.765625, 47.3683028045918, 50.8770591457431)","(12.3046875, 49.12268112231084)(12.3046875, 49.12268112231084)(10.1953125, 48.070054217623465)(11.25, 49.12268112231084)"
0,2002,4,20,2002-07-21,2002-07-24,4,54236,4355002.99,282.82,07-23,26.03,25.97,"(0.0, 2.109375, 35.4385190210863, 36.8420237038942)","(1.40625, 35.789395200932205)(1.0546875, 36.140271368586205)(1.0546875, 36.140271368586205)(0.703125, 36.140271368586205)"
0,2002,5,21,2002-07-22,2002-07-27,6,830794,98553977.97,4546.93,07-23,25.51,25.39,"(-9.140625, 3.515625, 35.4385190210863, 45.263048035017)","(-2.8125, 39.999908277702424)(-2.8125, 40.350784261523394)(-2.8125, 39.999908277702424)(-2.8125, 40.350784261523394)(-2.8125, 39.298156255311554)(-3.8671875, 37.894652009056074)"
0,2002,6,32,2002-08-02,2002-08-01,9,451515,64092122.06,2607.38,08-06,25.98,25.5,"(-9.84375, -0.703125, 35.4385190210863, 42.45604075651)","(-6.6796875, 39.649032444059856)(-5.9765625, 39.29815633773168)(-5.625, 38.94728021803664)(-5.2734375, 38.94728021803664)(-5.2734375, 38.59640416418931)(-3.515625, 38.94728034960657)(-2.109375, 38.596404278430704)(-7.3828125, 40.35078466271226)(-6.328125, 40.350784614835014)"
0,2002,7,32,2002-08-02,2002-08-01,3,61957,2118039.34,248.12,08-01,15.02,14.87,"(-9.84375, -6.328125, 52.2805610111665, 54.3858129450494)","(-7.734375, 53.33318703966727)(-8.4375, 52.98231173787323)(-8.0859375, 53.33318703966727)"
